course,topic,requires
MF2,14,1318
MF2,14,2240
MF2,28,726
MF2,28,818
MF3,29,297
MF3,29,328
MF3,29,861
MF2,30,1474
MF2,30,1475
MF2,31,134
MF2,31,137
MF2,31,735
MF2,32,14
MF2,32,1224
MF2,33,31
MF2,33,371
MF2,34,157
MF2,34,459
MF2,35,380
MF2,35,812
MF2,37,589
MF2,37,1246
MF2,37,2607
MF1,38,40
MF1,38,65
MF1,38,387
MF1,40,1412
MF2,43,278
MF2,43,308
MF2,45,2558
MF3,57,987
MF3,57,1115
MF3,57,3739
MF1,64,2561
MF1,64,3721
MF1,65,134
MF1,65,524
MF1,65,1412
MF1,66,40
MF1,66,65
MF1,67,66
MF1,67,2202
MF1,68,1297
MF1,68,2183
MF1,71,267
MF1,71,3721
MF2,73,1226
MF1,75,96
MF1,79,81
MF1,81,137
MF1,81,1783
MF2,84,117
MF2,84,2022
MF1,85,645
MF1,85,811
MF1,85,3721
MF2,86,484
MF2,86,1318
MF2,86,2275
MF1,87,85
MF1,87,137
MF1,87,2441
MF2,88,428
MF2,88,2119
MF1,89,352
MF1,89,353
MF1,89,370
MF1,92,63
MF1,92,2410
MF1,92,2442
MF1,94,66
MF1,94,92
MF1,95,94
MF1,96,64
MF1,96,1987
MF1,97,95
MF1,101,2225
MF1,101,3821
MF2,104,2119
MF2,112,323
MF2,112,516
MF2,112,1848
MF2,116,1422
MF2,117,453
MF3,118,1495
MF1,121,125
MF1,121,2475
MF1,121,2561
MF1,125,2195
MF2,126,1463
MF2,126,1632
MF2,126,2510
MF2,130,63
MF2,130,236
MF2,130,2347
MF2,130,2451
MF2,130,2452
MF2,130,2499
MF2,130,2510
MF2,130,4196
MF2,130,4197
MF2,130,4198
MF2,131,130
MF2,132,705
MF2,132,1120
MF2,133,428
MF2,133,661
MF2,133,1676
MF1,134,329
MF1,134,644
MF1,135,328
MF1,135,645
MF1,135,3718
MF1,137,3847
MF1,138,134
MF1,138,135
MF2,140,371
MF2,141,2707
MF2,141,2841
MF1,142,125
MF1,142,6642
MF1,142,6643
MF3,146,29
MF3,146,40
MF3,146,1167
MF3,147,177
MF3,147,862
MF3,152,66
MF3,152,352
MF3,152,353
MF3,152,362
MF3,152,861
MF3,153,233
MF3,153,863
MF3,154,153
MF3,154,232
MF3,154,864
MF3,155,1729
MF2,157,92
MF2,157,735
MF3,159,227
MF2,161,2475
MF1,165,418
MF1,165,802
MF2,166,261
MF2,166,4037
MF2,167,1848
MF2,168,629
MF2,168,1456
MF2,169,629
MF2,169,4037
MF3,175,244
MF3,175,1166
MF2,176,244
MF3,177,243
MF3,177,1166
MF1,178,2444
MF1,178,3721
MF3,183,715
MF3,203,436
MF3,203,611
MF3,203,3739
MF2,204,112
MF2,204,1456
MF2,204,1518
MF3,205,207
MF2,206,1251
MF2,206,1491
MF2,206,1493
MF2,206,4034
MF3,207,203
MF3,207,1453
MF3,209,1483
MF3,209,1486
MF3,209,1487
MF2,226,66
MF2,226,1599
MF3,227,905
MF3,232,146
MF3,233,152
MF3,233,393
MF3,233,394
MF3,233,422
MF3,233,1167
MF3,233,1422
MF1,236,2360
MF1,239,2204
MF1,239,2310
MF1,239,3709
MF3,243,176
MF3,243,3766
MF2,244,1165
MF3,245,116
MF3,245,153
MF3,245,4858
MF3,246,1277
MF3,246,3766
MF2,259,275
MF2,259,2841
MF2,259,3540
MF2,259,3557
MF2,261,167
MF1,262,433
MF1,262,1318
MF1,263,433
MF1,263,1318
MF1,263,1386
MF3,265,1632
MF3,265,2024
MF1,266,3555
MF1,267,3561
MF2,268,269
MF2,268,2271
MF2,269,4037
MF3,270,3766
MF3,271,270
MF3,274,3766
MF2,275,206
MF2,275,784
MF2,275,1254
MF2,275,1659
MF2,275,1661
MF2,278,35
MF2,280,268
MF2,280,986
MF2,281,280
MF2,281,1116
MF3,282,203
MF3,282,478
MF3,283,308
MF3,283,2006
MF3,284,296
MF3,284,1115
MF3,284,1589
MF2,285,1686
MF2,285,3769
MF3,287,4059
MF3,288,116
MF3,288,1116
MF3,288,1691
MF3,291,116
MF3,291,480
MF3,291,870
MF3,291,1115
MF3,291,1117
MF3,291,1551
MF3,291,1785
MF2,296,812
MF2,296,2231
MF1,297,329
MF1,298,2347
MF1,298,2442
MF1,299,2422
MF3,303,57
MF3,303,1483
MF3,303,1486
MF3,303,1487
MF3,303,1785
MF2,305,1108
MF2,305,1686
MF2,308,35
MF2,312,1361
MF3,313,332
MF3,313,1691
MF2,314,462
MF2,314,1262
MF3,315,209
MF3,315,1159
MF3,316,1159
MF3,317,478
MF3,317,3770
MF1,322,125
MF1,323,2202
MF3,324,4361
MF1,327,2442
MF1,327,3907
MF1,328,3679
MF1,328,3680
MF1,329,3679
MF1,329,3680
MF1,330,3718
MF3,331,334
MF3,331,1361
MF2,332,278
MF3,333,1200
MF3,334,1108
MF3,334,3769
MF3,335,762
MF3,335,1590
MF2,336,396
MF2,336,470
MF2,337,1208
MF2,337,1813
MF2,337,3817
MF3,338,728
MF3,338,1159
MF3,339,1360
MF3,339,3846
MF3,340,982
MF3,340,3771
MF3,342,1721
MF3,342,2883
MF3,342,3769
MF1,343,67
MF1,343,135
MF1,343,2270
MF3,345,4059
MF1,347,4028
MF1,349,71
MF1,349,655
MF1,349,1783
MF1,349,3847
MF1,350,347
MF1,350,388
MF1,352,360
MF1,353,87
MF1,353,349
MF1,353,2181
MF1,354,3752
MF1,355,1297
MF1,356,1413
MF1,360,371
MF1,361,371
MF1,362,374
MF1,362,380
MF3,363,1359
MF3,364,1360
MF1,370,2275
MF1,371,79
MF1,371,349
MF1,371,3873
MF1,372,89
MF1,374,71
MF1,374,1223
MF2,375,1424
MF2,375,3577
MF1,376,75
MF1,376,1822
MF2,378,457
MF2,379,2607
MF1,380,2607
MF1,381,376
MF1,381,1819
MF1,382,352
MF1,384,66
MF1,384,96
MF1,384,137
MF1,387,64
MF1,387,2310
MF1,388,4034
MF1,389,1927
MF1,389,2012
MF1,389,3729
MF1,390,389
MF1,390,2240
MF1,390,3848
MF1,391,66
MF1,391,3561
MF2,393,353
MF2,393,1424
MF2,394,370
MF2,394,430
MF2,394,1424
MF3,395,1432
MF1,396,97
MF1,396,557
MF1,396,573
MF1,396,2183
MF1,398,1240
MF1,408,487
MF1,408,839
MF1,408,4236
MF2,410,393
MF2,410,425
MF2,410,487
MF2,410,1422
MF3,416,1140
MF1,418,138
MF1,418,1240
MF2,419,450
MF2,419,1423
MF1,421,343
MF1,421,1437
MF1,421,3979
MF2,422,813
MF2,422,1425
MF2,422,2184
MF1,423,68
MF1,423,87
MF3,424,305
MF3,424,416
MF3,424,1036
MF2,425,422
MF2,425,2558
MF1,426,651
MF1,426,1024
MF1,426,2213
MF2,427,2013
MF2,428,2337
MF1,430,376
MF1,430,1927
MF1,430,2240
MF1,430,4029
MF3,431,57
MF3,431,281
MF3,431,798
MF1,433,354
MF1,433,430
MF1,433,1601
MF1,433,2184
MF2,434,101
MF2,434,408
MF2,434,425
MF2,434,455
MF2,434,698
MF2,434,1422
MF2,435,1676
MF2,435,2337
MF2,436,435
MF2,437,134
MF2,437,423
MF2,440,435
MF2,440,1414
MF2,440,2625
MF2,440,3555
MF2,440,5572
MF2,441,370
MF2,441,381
MF3,443,331
MF3,444,315
MF3,444,3824
MF3,445,1060
MF3,445,1159
MF3,446,445
MF3,446,1062
MF3,447,315
