page_id,course_id,course_code,source_surface,source_kind,requested_url,resolved_url,title,canvas_object_type,canvas_object_id,depth,redirected,requires_external_handler,html_path,text_path,full_text_path,markdown_path,screenshot_path,metadata_path,html_sha256,text_sha256,captured_at,heading_count,link_count,iframe_count,module_item_count,assignment_row_count,grade_row_count
00001-mth-252-home-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,home,surface,https://canvas.oregonstate.edu/courses/2080857,https://canvas.oregonstate.edu/courses/2080857,INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,,,raw_html/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.html,text/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.txt,text/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.md,screenshots/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.png,metadata/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.json,af755a0b2c66ab374001a3c4cf74d8f6ad891e9391ffb9499b74d6610162d067,9b1c20fcc2311c46ddd22269322690fc3ed6174a8fd3a70191b7dcfb473d1624,2026-06-26T20:53:41.585Z,7,43,3,0,0,0
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,modules,surface,https://canvas.oregonstate.edu/courses/2080857/modules,https://canvas.oregonstate.edu/courses/2080857/modules,Course Modules: INTEGRAL CALCULUS (MTH_252Z_400_U2026),modules,,0,,,raw_html/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.html,text/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.txt,text/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.md,screenshots/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.png,metadata/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.json,68cbdf5884ff32ac1091c8f00a4699e9bf1348b6a7859d38f0de08612702c550,fd5d39c03ed7af7453ffacdd26fe4742b32693a55cb58da2cf2737f5eee6a26b,2026-06-26T20:53:45.561Z,47,355,2,274,0,0
00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,assignments,surface,https://canvas.oregonstate.edu/courses/2080857/assignments,https://canvas.oregonstate.edu/courses/2080857,INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,yes,,raw_html/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.html,text/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.txt,text/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.md,screenshots/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.png,metadata/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.json,f78f572aa45c3183722cea95f71d7bfadd325aea5b6b315eceba38d2484e0a10,a1f6dbe98896092cc2ed9c084d3bf4e38ee1bcebce028757f932c2ed0b46e664,2026-06-26T20:54:18.925Z,7,50,3,0,0,0
00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,grades,surface,https://canvas.oregonstate.edu/courses/2080857/grades,https://canvas.oregonstate.edu/courses/2080857/grades,Grades for Jacob Peterson: INTEGRAL CALCULUS (MTH_252Z_400_U2026),grades,,0,,,raw_html/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.html,text/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.txt,text/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.md,screenshots/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.png,metadata/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.json,d9df2f41fdbda9f8375718837c2a5f9aee17e669e1a23b78d7ac551cf5232fa9,3daec75e78f14657b632c87767ebe012eb7130462505ba9bc1ed214607c720bd,2026-06-26T20:54:24.034Z,1,350,2,0,0,74
00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,announcements,surface,https://canvas.oregonstate.edu/courses/2080857/announcements,https://canvas.oregonstate.edu/courses/2080857/announcements,Announcements: INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,,,raw_html/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.html,text/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.txt,text/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.md,screenshots/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.png,metadata/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.json,a399c7283e6030adad76832c17cd0edb8bc8f23dfca38b00d66095407e8bfec6,8f3c52bc93595cfa42b3682de430224218c77a4149343f4bede110571d98f6f2,2026-06-26T20:54:27.062Z,1,25,2,0,0,0
00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,syllabus,surface,https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,Syllabus for INTEGRAL CALCULUS (MTH_252Z_400_U2026),assignment,syllabus,0,,,raw_html/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.html,text/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.txt,text/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.md,screenshots/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.png,metadata/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.json,da1db6c54ba5212de6fdcba6fde669e02f3123b18230112c7f417278f087b9ca,bac48d615100be5f44d493b5dfa494011124fb77520f3c6d44e0cc16d878b7fe,2026-06-26T20:54:30.316Z,2,91,2,0,0,0
00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,discussions,surface,https://canvas.oregonstate.edu/courses/2080857/discussion_topics,https://canvas.oregonstate.edu/courses/2080857/discussion_topics,Discussions: INTEGRAL CALCULUS (MTH_252Z_400_U2026),discussions,,0,,,raw_html/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.html,text/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.txt,text/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.md,screenshots/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.png,metadata/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.json,e934c13d0369d3312f9b7ee4ea08d2a316acdde9845faec68cae27e784514478,ea316b253d341da09c0b02d4ab39f231bc867f218986c088d841be066d219f76,2026-06-26T20:54:33.519Z,12,34,2,0,0,0
00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,quizzes,surface,https://canvas.oregonstate.edu/courses/2080857/quizzes,https://canvas.oregonstate.edu/courses/2080857,INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,yes,,raw_html/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.html,text/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.txt,text/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.md,screenshots/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.png,metadata/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.json,b2858b48aa1c9e9db3eebd693e5bd48478a7d6ff340ab630ba4eeca6bc424724,a1f6dbe98896092cc2ed9c084d3bf4e38ee1bcebce028757f932c2ed0b46e664,2026-06-26T20:54:37.341Z,7,50,3,0,0,0
00009-mth-253-home-sequences-and-series-mth-253z-400-u2026,2053263,MTH-253,home,surface,https://canvas.oregonstate.edu/courses/2053263,https://canvas.oregonstate.edu/courses/2053263,SEQUENCES AND SERIES (MTH_253Z_400_U2026),course_page,,0,,,raw_html/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.html,text/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.txt,text/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.fulltext.txt,markdown/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.md,screenshots/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.png,metadata/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.json,0c638652d206eb932bfd458bafdc0def0fcc2ae393346880a0c2ac3e99ae4837,a25815ccfada7b00d99b95478d2a6595fa56eb7e88ee26ab26fe0055b62134dc,2026-06-26T20:54:42.520Z,5,45,3,0,0,0
00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,2053263,MTH-253,modules,surface,https://canvas.oregonstate.edu/courses/2053263/modules,https://canvas.oregonstate.edu/courses/2053263/modules,Course Modules: SEQUENCES AND SERIES (MTH_253Z_400_U2026),modules,,0,,,raw_html/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.html,text/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.txt,text/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.fulltext.txt,markdown/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.md,screenshots/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.png,metadata/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.json,abcba901c2ea60903248ab11e794b41c3276fe3f6adde3a7f2b4316c4f5dc3a7,15aa3da9dc4e36228f4efdd2d82b6bd726ca0f9fad21f5b90e3c645459642230,2026-06-26T20:54:45.973Z,23,101,2,63,0,0
