page_id,course_id,course_code,source_surface,source_kind,requested_url,resolved_url,title,canvas_object_type,canvas_object_id,depth,redirected,requires_external_handler,html_path,text_path,full_text_path,markdown_path,screenshot_path,metadata_path,html_sha256,text_sha256,captured_at,heading_count,link_count,iframe_count,module_item_count,assignment_row_count,grade_row_count
00001-mth-252-home-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,home,surface,https://canvas.oregonstate.edu/courses/2080857,https://canvas.oregonstate.edu/courses/2080857,INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,,,raw_html/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.html,text/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.txt,text/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.md,,metadata/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.json,23bec7cd6d91e7a8799a8c5392d749aba5d619a6a1cde3ce889a8e11d4a22818,cfcd385351fa98ba82d3b7d317097775dde0c5286d429812b17f17bce28a9590,2026-06-26T20:59:13.415Z,5,42,3,0,0,0
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,modules,surface,https://canvas.oregonstate.edu/courses/2080857/modules,https://canvas.oregonstate.edu/courses/2080857/modules,Course Modules: INTEGRAL CALCULUS (MTH_252Z_400_U2026),modules,,0,,,raw_html/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.html,text/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.txt,text/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.md,,metadata/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.json,af38bf0b4f1037c7dbe44797b38e369ba29e1c8e8ad6d30fff10a097f053cf13,fd5d39c03ed7af7453ffacdd26fe4742b32693a55cb58da2cf2737f5eee6a26b,2026-06-26T20:59:17.681Z,47,355,2,274,0,0
00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,assignments,surface,https://canvas.oregonstate.edu/courses/2080857/assignments,https://canvas.oregonstate.edu/courses/2080857,INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,yes,,raw_html/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.html,text/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.txt,text/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.md,,metadata/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.json,b2d4859372796fe11e3b8a2cc63a9a2f1e67bdcab938f6183f680747ec666bac,a1f6dbe98896092cc2ed9c084d3bf4e38ee1bcebce028757f932c2ed0b46e664,2026-06-26T20:59:21.189Z,7,50,3,0,0,0
00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,grades,surface,https://canvas.oregonstate.edu/courses/2080857/grades,https://canvas.oregonstate.edu/courses/2080857/grades,Grades for Jacob Peterson: INTEGRAL CALCULUS (MTH_252Z_400_U2026),grades,,0,,,raw_html/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.html,text/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.txt,text/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.md,,metadata/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.json,6f1990755773cadccf3b011862c43813646d0f68a16d2bdea81034540d1fbab7,3daec75e78f14657b632c87767ebe012eb7130462505ba9bc1ed214607c720bd,2026-06-26T20:59:24.877Z,1,350,2,0,0,74
00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,announcements,surface,https://canvas.oregonstate.edu/courses/2080857/announcements,https://canvas.oregonstate.edu/courses/2080857/announcements,Announcements: INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,,,raw_html/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.html,text/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.txt,text/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.md,,metadata/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.json,6911fdfd9b04018925b4835ba17dd916af51c6c46e40bd03b9ed5c99a9998104,8f3c52bc93595cfa42b3682de430224218c77a4149343f4bede110571d98f6f2,2026-06-26T20:59:27.077Z,1,25,2,0,0,0
00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,syllabus,surface,https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,Syllabus for INTEGRAL CALCULUS (MTH_252Z_400_U2026),assignment,syllabus,0,,,raw_html/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.html,text/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.txt,text/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.md,,metadata/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.json,e5c38f18984f596b1d04fb39a6f967781791e8bcec8f18446070eae07d3d9865,c3b03e82b05de1a1fb1b4054bb67202ec3b09605e501047e93552df7956ff98c,2026-06-26T20:59:29.766Z,2,91,2,0,0,0
00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,discussions,surface,https://canvas.oregonstate.edu/courses/2080857/discussion_topics,https://canvas.oregonstate.edu/courses/2080857/discussion_topics,Discussions: INTEGRAL CALCULUS (MTH_252Z_400_U2026),discussions,,0,,,raw_html/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.html,text/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.txt,text/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.md,,metadata/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.json,fa88c26ffe8e0704d7641a8dad064c5fde6bde4ce96f87ff7e8158e377826203,ea316b253d341da09c0b02d4ab39f231bc867f218986c088d841be066d219f76,2026-06-26T20:59:32.377Z,12,34,2,0,0,0
00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,quizzes,surface,https://canvas.oregonstate.edu/courses/2080857/quizzes,https://canvas.oregonstate.edu/courses/2080857,INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,yes,,raw_html/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.html,text/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.txt,text/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.md,,metadata/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.json,60ea435666306e4830606f30e7104ac64ab81927f0c60cc77398965e6601c224,cfcd385351fa98ba82d3b7d317097775dde0c5286d429812b17f17bce28a9590,2026-06-26T20:59:35.128Z,5,42,3,0,0,0
00009-mth-252-module-item-start-here-overview-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,module_item,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982519,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-overview?module_item_id=26982519,Start Here — Overview: INTEGRAL CALCULUS (MTH_252Z_400_U2026),page,start-here-overview,1,yes,,raw_html/00009-mth-252-module-item-start-here-overview-integral-calculus-mth-252z-400-u2026.html,text/00009-mth-252-module-item-start-here-overview-integral-calculus-mth-252z-400-u2026.txt,text/00009-mth-252-module-item-start-here-overview-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00009-mth-252-module-item-start-here-overview-integral-calculus-mth-252z-400-u2026.md,,metadata/00009-mth-252-module-item-start-here-overview-integral-calculus-mth-252z-400-u2026.json,d560f048cd4825906a2f8bf13fe9dc0aa72673dfd37a3af0ca493db472de1aa1,55505d9d32acae6209a85d0e9785abed49817d7d76f124f4e98f7b3b1aaff2ff,2026-06-26T20:59:37.576Z,1,27,2,0,0,0
00010-mth-252-module-item-start-here-instructor-information-communication-policy-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,module_item,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982520,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-instructor-information-and-communication-policy?module_item_id=26982520,Start Here — Instructor Information & Communication Policy: INTEGRAL CALCULUS (MTH_252Z_400_U2026),page,start-here-instructor-information-and-communication-policy,1,yes,,raw_html/00010-mth-252-module-item-start-here-instructor-information-communication-policy-integral-calculus-mth-252z-400-u2026.html,text/00010-mth-252-module-item-start-here-instructor-information-communication-policy-integral-calculus-mth-252z-400-u2026.txt,text/00010-mth-252-module-item-start-here-instructor-information-communication-policy-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00010-mth-252-module-item-start-here-instructor-information-communication-policy-integral-calculus-mth-252z-400-u2026.md,,metadata/00010-mth-252-module-item-start-here-instructor-information-communication-policy-integral-calculus-mth-252z-400-u2026.json,1c8375ea7f3a391865edceaf5f569ba62116494d7b51e1b3da5d2b7b6457f16a,38254742d0c56dcb9376025c5138fe5df1f387e96a1f888e4f45e9127f963e06,2026-06-26T20:59:39.927Z,4,28,2,0,0,0
