review_id,task_id,course_code,title,reason,source_surfaces,importance,hrefs
rq-00001,MTH-252-get-your-mth-252z-course-materials-access-code-ebook,MTH-252,Get your MTH 252Z Course Materials! (Access Code + Ebook),module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://canvas.oregonstate.edu/courses/2080857/modules/items/26990499
rq-00002,MTH-252-achieve-registration-process-v3-pdf,MTH-252,Achieve Registration Process_v3.pdf,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982524
rq-00003,MTH-252-free-trial-grace-period-in-achieve-2-weeks,MTH-252,Free Trial/Grace Period in Achieve (2 weeks),module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982525
rq-00004,MTH-252-openstax-course-online-textbook-pdf-downloadable-links-to-an-external-site,MTH-252,OpenStax Course Online Textbook (pdf downloadable) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://openstax.org/details/books/calculus-volume-2
rq-00005,MTH-252-gradescope-submissions-students-are-held-accountable-for-verifying-submissions-8,MTH-252,Gradescope Submissions - Students are held accountable for verifying submissions 8,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,
rq-00006,MTH-252-gradescope-submission-using-phone-no-audio,MTH-252,Gradescope Submission Using Phone (no audio),module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982529
rq-00007,MTH-252-gradescope-submission-using-computer-no-audio,MTH-252,Gradescope Submission Using Computer (no audio),module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982530
rq-00008,MTH-252-website-mslc-peer-tutoring,MTH-252,Website: MSLC --> Peer tutoring,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://math.oregonstate.edu/undergraduate/mathematics-statistics-learning-center
rq-00009,MTH-252-mslc-summer-tutoring-hours-pdf,MTH-252,MSLC Summer Tutoring Hours.pdf,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982536
rq-00010,MTH-252-camscanner-making-one-pdf-with-multiple-pages-links-to-an-external-site,MTH-252,CamScanner: Making ONE pdf with multiple pages Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/aP78GQc9gNA
rq-00011,MTH-252-mini-exam-retake-sign-up,MTH-252,Mini-Exam Retake Sign Up,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_graded,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982640
rq-00012,MTH-252-retake-only-one-retake-submission-is-permitted-1,MTH-252,Retake - Only ONE retake submission is permitted. 1,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,
rq-00013,MTH-252-what-is-calculus-links-to-an-external-site,MTH-252,What is Calculus? Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/tXnYk5zLPTI
rq-00014,MTH-252-upper-lower-left-and-right-sums-links-to-an-external-site,MTH-252,"Upper, Lower, Left, and Right Sums Links to an external site.",module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/bVYrCrG0ggo
rq-00015,MTH-252-area-under-curve-rectangles-links-to-an-external-site,MTH-252,Area under curve: Rectangles Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/eHbHQ2wqZvc
rq-00016,MTH-252-application-area-under-curve-distance-links-to-an-external-site,MTH-252,Application: Area under curve: Distance Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/DZZd1qo1n2A
rq-00017,MTH-252-area-under-curve-more-rectangles-links-to-an-external-site,MTH-252,"Area under curve, more rectangles Links to an external site.",module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/B8WYjWiw5YM
rq-00018,MTH-252-application-area-under-the-graph-table-links-to-an-external-site,MTH-252,"Application: Area under the graph, table Links to an external site.",module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/_lNM3EZhByw
rq-00019,MTH-252-area-under-curve-left-sum-links-to-an-external-site,MTH-252,Area under curve: Left Sum Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/v9WTXqKgg7I
rq-00020,MTH-252-area-under-curve-right-sum-links-to-an-external-site,MTH-252,Area under curve: Right Sum Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/BvwyTXeuLS0
rq-00021,MTH-252-midpoint-rule-1-links-to-an-external-site,MTH-252,Midpoint rule 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/GIiRh4V9GvI
rq-00022,MTH-252-midpoint-rule-2-links-to-an-external-site,MTH-252,Midpoint rule 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/LmVPqLOPsqc
rq-00023,MTH-252-midpoint-rule-with-table-links-to-an-external-site,MTH-252,Midpoint rule with table Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/5FYkXyyTnUE
rq-00024,MTH-252-riemann-sums-right-sum-links-to-an-external-site,MTH-252,Riemann sums: Right Sum Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/PjiB_-cVly0
rq-00025,MTH-252-intro-definite-integral-links-to-an-external-site,MTH-252,Intro: Definite Integral Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/VDOBMZRWxmw
rq-00026,MTH-252-definite-integral-using-geometry-links-to-an-external-site,MTH-252,Definite integral: Using geometry Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/jTjrLTEQEws
rq-00027,MTH-252-definite-integral-setting-up-the-integral-links-to-an-external-site,MTH-252,Definite integral: Setting up the integral Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/6pQUsnRKxSg
rq-00028,MTH-252-convert-riemann-sum-to-integrals-links-to-an-external-site,MTH-252,Convert Riemann sum to integrals Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/FZKRsD9FqU4
rq-00029,MTH-252-definite-integral-properties-continued-links-to-an-external-site,MTH-252,Definite integral: Properties continued Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/UgUKjUAkwN8
rq-00030,MTH-252-definite-integrals-properties-links-to-an-external-site,MTH-252,Definite integrals: Properties Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/ycOZVVVXHvM
rq-00031,MTH-252-definite-integral-intro-and-application-links-to-an-external-site,MTH-252,Definite integral: Intro and application Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/HnZTll3OmIc
rq-00032,MTH-252-definite-integral-function-plus-constant-links-to-an-external-site,MTH-252,Definite integral: Function plus constant Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/kmnvYAS409s
rq-00033,MTH-252-definite-integral-constant-function-links-to-an-external-site,MTH-252,Definite integral: Constant*function Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/csjUDj6HMpc
rq-00034,MTH-252-definite-integral-trig-links-to-an-external-site,MTH-252,Definite integral: Trig Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/itmNYsvNiHs
rq-00035,MTH-252-fundamental-theorem-of-calc-ftoc-area-function-links-to-an-external-site,MTH-252,Fundamental Theorem of Calc (FToC): Area function Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/jyRdHbHeUuU
rq-00036,MTH-252-area-accumulation-graph-analysis-openstax-specific-links-to-an-external-site,MTH-252,Area Accumulation Graph Analysis (OpenStax Specific) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/yjJ1JIvX7t4
rq-00037,MTH-252-fundamental-theorem-of-calc-ftoc-definite-integrals-links-to-an-external-site,MTH-252,Fundamental Theorem of Calc (FToC): Definite integrals Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/ZTqEj1NyGPw
rq-00038,MTH-252-ftoc-setup-and-solve-links-to-an-external-site,MTH-252,FToC: Setup and solve Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/YE9jpfxEFYk
rq-00039,MTH-252-ftoc-example-links-to-an-external-site,MTH-252,FToC: Example Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/gJtkTRjqM6I
rq-00040,MTH-252-ftoc-polynomial-example-links-to-an-external-site,MTH-252,FToC: Polynomial example Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/X5ke8bUiiQM
rq-00041,MTH-252-ftoc-trig-example-links-to-an-external-site,MTH-252,FToC: Trig example Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/GwOhAkU-A0M
rq-00042,MTH-252-ftoc-example-using-area-links-to-an-external-site,MTH-252,FToC: Example using area Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/zdWBJTOfdiM
rq-00043,MTH-252-the-antiderivative-1-links-to-an-external-site,MTH-252,The antiderivative 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/US8p_qO4Or8
rq-00044,MTH-252-the-antiderivative-2-links-to-an-external-site,MTH-252,The antiderivative 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/0s4_ojV_HNY
rq-00045,MTH-252-the-antiderivative-trig-links-to-an-external-site,MTH-252,The antiderivative (trig) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/7TPVm_DwsYE
rq-00046,MTH-252-find-antiderivative-2-links-to-an-external-site,MTH-252,Find antiderivative 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/-_FJ1V5_Fcc
rq-00047,MTH-252-find-antiderivative-3-links-to-an-external-site,MTH-252,Find antiderivative 3 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/KM61G41NKGY
rq-00048,MTH-252-average-value-of-a-function-links-to-an-external-site,MTH-252,Average value of a function Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/2ikYbP6DpzE
rq-00049,MTH-252-average-value-find-c-value-s-alta-specific-links-to-an-external-site,MTH-252,Average Value: Find C Value(s) (Alta Specific) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/20XiiJFlgd0
rq-00050,MTH-252-average-value-of-f-continued-links-to-an-external-site,MTH-252,Average value of f continued Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/3BxBjhsoF6o
rq-00051,MTH-252-average-temperature-links-to-an-external-site,MTH-252,Average temperature Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/ba7HOTlDBec
rq-00052,MTH-252-application-average-value-of-investment-links-to-an-external-site,MTH-252,Application: Average value of investment Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/80fxxec6ihM
rq-00053,MTH-252-intro-net-change-theorem-links-to-an-external-site,MTH-252,Intro: Net change theorem Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/EivFp4mscX4
rq-00054,MTH-252-net-change-in-population-links-to-an-external-site,MTH-252,Net change in population Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/jX2MPRxtTwE
rq-00055,MTH-252-net-displacement-at-time-t-alta-specific-links-to-an-external-site,MTH-252,Net Displacement at Time t (Alta Specific) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/HLYafwRnYyk
rq-00056,MTH-252-area-under-the-curve-interpretation-velocity-links-to-an-external-site,MTH-252,"Area under the curve: Interpretation, velocity Links to an external site.",module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/Z_OHgubPJKA
rq-00057,MTH-252-velocity-example-1-links-to-an-external-site,MTH-252,Velocity example 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/VS2CEu6qbUg
rq-00058,MTH-252-future-value-links-to-an-external-site,MTH-252,Future value Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/rlyoHQn8eSY
