evidence_id,task_id,course_code,source_surface,module_title,group_name,canvas_type,due,href,evidence_text
ev-00001,MTH-252-start-here-overview,MTH-252,modules,Start Here,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982519,Page Start Here — Overview Start Here — Overview 1 must_view wiki_page 26982519 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00002,MTH-252-start-here-instructor-information-communication-policy,MTH-252,modules,Start Here,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982520,Page Start Here — Instructor Information & Communication Policy Start Here — Instructor Information & Communication Policy 2 must_view wiki_page 26982520 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00003,MTH-252-syllabus-and-calendar-as-of-6-21-both-sections-400-and-401,MTH-252,modules,Start Here,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982522,Page Syllabus and Calendar (as of 6/21) --> Both Sections 400 and 401 Syllabus and Calendar (as of 6/21) --> Both Sections 400 and 401 3 must_view wiki_page 26982522 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00004,MTH-252-get-your-mth-252z-course-materials-access-code-ebook,MTH-252,modules,Start Here,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26990499,Page Get your MTH 252Z Course Materials! (Access Code + Ebook) Get your MTH 252Z Course Materials! (Access Code + Ebook) 4 wiki_page 26990499 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00005,MTH-252-achieve-registration-process-v3-pdf,MTH-252,modules,Start Here,,Attachment,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982524,Attachment Achieve Registration Process_v3.pdf Achieve Registration Process_v3.pdf 5 attachment 26982524 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00006,MTH-252-free-trial-grace-period-in-achieve-2-weeks,MTH-252,modules,Start Here,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982525,Page Free Trial/Grace Period in Achieve (2 weeks) Free Trial/Grace Period in Achieve (2 weeks) 6 must_view wiki_page 26982525 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00007,MTH-252-openstax-course-online-textbook-pdf-downloadable-links-to-an-external-site,MTH-252,modules,Start Here,,External Url,,https://openstax.org/details/books/calculus-volume-2,External Url OpenStax Course Online Textbook (pdf downloadable) Links to an external site. OpenStax Course Online Textbook (pdf downloadable) 7 external_url 26982526 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00008,MTH-252-gradescope-submissions-students-are-held-accountable-for-verifying-submissions-8,MTH-252,modules,Start Here,,Context Module Sub Header,,,Context Module Sub Header Gradescope Submissions - Students are held accountable for verifying submissions 8 context_module_sub_header 26982527 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00009,MTH-252-videos-below-show-what-verifying-subs-looks-like-9,MTH-252,modules,Start Here,,Context Module Sub Header,,,Context Module Sub Header Videos below: Show what verifying subs looks like. 9 context_module_sub_header 26982528 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00010,MTH-252-gradescope-submission-using-phone-no-audio,MTH-252,modules,Start Here,,External Tool,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982529,External Tool Gradescope Submission Using Phone (no audio) Gradescope Submission Using Phone (no audio) 10 must_view context_external_tool 26982529 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
