task_id,course_id,course_code,title,task_type,importance,required,graded,due,available,source_surfaces,module_titles,hrefs,confidence
MTH-252-start-here-overview,2080857,MTH-252,Start Here — Overview,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982519,0.75
MTH-252-start-here-instructor-information-communication-policy,2080857,MTH-252,Start Here — Instructor Information & Communication Policy,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982520,0.75
MTH-252-syllabus-and-calendar-as-of-6-21-both-sections-400-and-401,2080857,MTH-252,Syllabus and Calendar (as of 6/21) --> Both Sections 400 and 401,lab,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982522,0.75
MTH-252-get-your-mth-252z-course-materials-access-code-ebook,2080857,MTH-252,Get your MTH 252Z Course Materials! (Access Code + Ebook),page,required_ungraded_blocker,yes,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26990499,0.75
MTH-252-achieve-registration-process-v3-pdf,2080857,MTH-252,Achieve Registration Process_v3.pdf,assignment,required_ungraded_blocker,yes,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982524,0.75
MTH-252-free-trial-grace-period-in-achieve-2-weeks,2080857,MTH-252,Free Trial/Grace Period in Achieve (2 weeks),assignment,required_ungraded_blocker,yes,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982525,0.75
MTH-252-openstax-course-online-textbook-pdf-downloadable-links-to-an-external-site,2080857,MTH-252,OpenStax Course Online Textbook (pdf downloadable) Links to an external site.,reading,required_ungraded_blocker,yes,no,,,modules,Start Here,https://openstax.org/details/books/calculus-volume-2,0.75
MTH-252-gradescope-submissions-students-are-held-accountable-for-verifying-submissions-8,2080857,MTH-252,Gradescope Submissions - Students are held accountable for verifying submissions 8,unknown,required_ungraded_blocker,yes,no,,,modules,Start Here,,0.75
MTH-252-videos-below-show-what-verifying-subs-looks-like-9,2080857,MTH-252,Videos below: Show what verifying subs looks like. 9,lecture_video,prerequisite,yes,no,,,modules,Start Here,,0.75
MTH-252-gradescope-submission-using-phone-no-audio,2080857,MTH-252,Gradescope Submission Using Phone (no audio),external,required_ungraded_blocker,yes,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982529,0.75
MTH-252-gradescope-submission-using-computer-no-audio,2080857,MTH-252,Gradescope Submission Using Computer (no audio),external,required_ungraded_blocker,yes,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982530,0.75
MTH-252-start-here-where-to-go-for-help,2080857,MTH-252,Start Here — Where to go for help?,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982531,0.75
MTH-252-start-here-accessibility-statements-privacy-policies,2080857,MTH-252,Start Here — Accessibility Statements & Privacy Policies,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982532,0.75
MTH-252-start-here-sources-cited,2080857,MTH-252,Start Here — Sources Cited,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982533,0.75
MTH-252-start-here-conclusion,2080857,MTH-252,Start Here — Conclusion,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982534,0.75
MTH-252-q-a-discussion,2080857,MTH-252,Q&A Discussion,discussion,optional,no,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982539,0.75
MTH-252-website-mslc-peer-tutoring,2080857,MTH-252,Website: MSLC --> Peer tutoring,external,required_ungraded_blocker,yes,no,,,modules,Tutoring Support and Course Resources,https://math.oregonstate.edu/undergraduate/mathematics-statistics-learning-center,0.75
MTH-252-mslc-summer-tutoring-hours-pdf,2080857,MTH-252,MSLC Summer Tutoring Hours.pdf,unknown,required_ungraded_blocker,yes,no,,,modules,Tutoring Support and Course Resources,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982536,0.75
MTH-252-how-to-videos,2080857,MTH-252,How-To Videos,lecture_video,prerequisite,yes,no,,,modules,Tutoring Support and Course Resources,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982537,0.75
MTH-252-camscanner-making-one-pdf-with-multiple-pages-links-to-an-external-site,2080857,MTH-252,CamScanner: Making ONE pdf with multiple pages Links to an external site.,external,required_ungraded_blocker,yes,no,,,modules,Tutoring Support and Course Resources,https://youtu.be/aP78GQc9gNA,0.75
MTH-252-review-optional-3-3-differentiation-rules,2080857,MTH-252,Review (Optional) - 3.3 Differentiation Rules,external,optional,no,no,,,modules,MTH 251 Review **Optional**,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982540,0.75
MTH-252-review-optional-3-5-derivatives-of-trigonometric-functions,2080857,MTH-252,Review (Optional) - 3.5 Derivatives of Trigonometric Functions,external,optional,no,no,,,modules,MTH 251 Review **Optional**,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982541,0.75
MTH-252-review-optional-3-6-the-chain-rule,2080857,MTH-252,Review (Optional) - 3.6 The Chain Rule,external,optional,no,no,,,modules,MTH 251 Review **Optional**,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982542,0.75
MTH-252-review-optional-3-9-derivatives-of-exponential-and-logarithmic-functions,2080857,MTH-252,Review (Optional) - 3.9 Derivatives of Exponential and Logarithmic Functions,external,optional,no,no,,,modules,MTH 251 Review **Optional**,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982543,0.75
MTH-252-module-1-overview,2080857,MTH-252,Module 1 — Overview,reference,useful_reference,unknown,no,,,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",https://canvas.oregonstate.edu/courses/2080857/modules/items/26982544,0.75
MTH-252-module-1-learning-materials-and-practice-activities-3-5-hours,2080857,MTH-252,Module 1 — Learning Materials and Practice Activities 🕓 3 - 5 hours,page,optional,no,no,,,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",https://canvas.oregonstate.edu/courses/2080857/modules/items/26982545,0.75
MTH-252-dr-g-s-lecture-notes-sect-1-1-and-1-2,2080857,MTH-252,Dr. G's Lecture Notes--> Sect. 1.1 and 1.2,lecture_video,prerequisite,yes,no,,,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",https://canvas.oregonstate.edu/courses/2080857/modules/items/26982546,0.75
