due_at,due,course_code,title,task_type,source_surfaces,hrefs,confidence
2026-06-26T14:00,Jun 26 at 2:00pm,PHY-212,M1-1asy,quiz,assignments|grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10556950|https://canvas.oregonstate.edu/courses/2053526/assignments/10556950/submissions/6660414,0.88
2026-06-26T23:59,Jun 26 by 11:59pm,MTH-253,Unit 1 - Written Homework Assignment,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26885537|https://canvas.oregonstate.edu/courses/2053263/assignments/10553179/submissions/6660414,0.88
2026-06-27T14:00,Jun 27 at 2:00pm,PHY-212,M1-2asy,quiz,assignments|grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10556986|https://canvas.oregonstate.edu/courses/2053526/assignments/10556986/submissions/6660414,0.88
2026-06-27T23:59,Jun 27 at 11:59pm,PHY-212,Lab 1 Report,assignment,assignments|grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557057|https://canvas.oregonstate.edu/courses/2053526/assignments/10557057/submissions/6660414,0.88
2026-06-27T23:59,Jun 27 at 11:59pm,PHY-212,Lab Partner Values Survey,quiz,assignments|grades|modules,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896963|https://canvas.oregonstate.edu/courses/2053526/assignments/10557029|https://canvas.oregonstate.edu/courses/2053526/assignments/10557029/submissions/6660414,0.88
2026-06-28T23:59,Jun 28 by 11:59pm,MTH-253,Unit 1 Discussion Board - Submitted in Week 1 (Required),discussion,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26885532|https://canvas.oregonstate.edu/courses/2053263/assignments/10553178/submissions/6660414,0.88
2026-06-28T23:59,Jun 28 at 11:59pm,PHY-212,Hw 1 - Rotational Motion,quiz,assignments|grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10556984|https://canvas.oregonstate.edu/courses/2053526/assignments/10556984/submissions/6660414,0.88
2026-06-29T10:00,Jun 29 at 10:00am,PHY-212,M1-3pre,quiz,assignments|grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10556970|https://canvas.oregonstate.edu/courses/2053526/assignments/10556970/submissions/6660414,0.88
2026-06-29T23:59,Jun 29 by 11:59pm,MTH-252,Achieve - 1.1 Approximating Areas,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982551|https://canvas.oregonstate.edu/courses/2080857/assignments/10586025/submissions/6660414,0.88
2026-06-29T23:59,Jun 29 by 11:59pm,MTH-252,Intro Reflect 1,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982550|https://canvas.oregonstate.edu/courses/2080857/assignments/10586044/submissions/6660414,0.88
2026-06-29T23:59,Jun 29 by 11:59pm,MTH-252,Module 1 — Written Homework (WHW 1) 🕓 2 hours,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982549|https://canvas.oregonstate.edu/courses/2080857/assignments/10586053/submissions/6660414,0.88
2026-06-29T23:59,Jun 29 by 11:59pm,MTH-252,Pre-Class Reading Quiz - 1.1 (RQ-1.1),quiz,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982548|https://canvas.oregonstate.edu/courses/2080857/assignments/10586006/submissions/6660414,0.88
2026-06-29T23:59,Jun 29 by 11:59pm,MTH-253,"Week 1 Web Homework: Infinity and Limits, Indeterminates, Improper Integrals",assignment,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26977416|https://canvas.oregonstate.edu/courses/2053263/assignments/10584258/submissions/6660414,0.88
2026-06-29T23:59,Jun 29 at 11:59pm,PHY-212,Proctorio practice quiz (Remotely Proctored),quiz,assignments|grades|modules,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896961|https://canvas.oregonstate.edu/courses/2053526/assignments/10557001|https://canvas.oregonstate.edu/courses/2053526/assignments/10557001/submissions/6660414,0.88
2026-06-30T10:00,Jun 30 at 10:00am,PHY-212,M1-4pre,quiz,assignments|grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10556995|https://canvas.oregonstate.edu/courses/2053526/assignments/10556995/submissions/6660414,0.88
2026-06-30T22:30,Jun 30 by 10:30pm,MTH-253,Unit 1 Quiz,quiz,grades|modules|quizzes,https://canvas.oregonstate.edu/courses/2053263/modules/items/26885539|https://canvas.oregonstate.edu/courses/2053263/assignments/10553174/submissions/6660414|https://canvas.oregonstate.edu/courses/2053263/quizzes/3159593,0.88
2026-07-01T10:00,Jul 1 at 10:00am,PHY-212,M1-5pre,quiz,assignments|grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10556971|https://canvas.oregonstate.edu/courses/2053526/assignments/10556971/submissions/6660414,0.88
2026-07-02T23:59,Jul 2 by 11:59pm,MTH-252,Module 1 — Discussion Reflection: WHW 1 🕓 0.25 hour,discussion,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982552|https://canvas.oregonstate.edu/courses/2080857/assignments/10586023/submissions/6660414,0.88
2026-07-04T10:00,Jul 4 at 10:00am,PHY-212,M2-1pre,assignment,assignments|grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557070|https://canvas.oregonstate.edu/courses/2053526/assignments/10557070/submissions/6660414,0.88
2026-07-04T23:59,Jul 4 at 11:59pm,PHY-212,Lab Collaboration Contract,quiz,assignments|grades|modules,https://canvas.oregonstate.edu/courses/2053526/modules/items/26942495|https://canvas.oregonstate.edu/courses/2053526/assignments/10556974|https://canvas.oregonstate.edu/courses/2053526/assignments/10556974/submissions/6660414,0.88
2026-07-06T23:59,Jul 6 by 11:59pm,MTH-252,Achieve - 1.2 The Definite Integral,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982560|https://canvas.oregonstate.edu/courses/2080857/assignments/10586026/submissions/6660414,0.88
2026-07-06T23:59,Jul 6 by 11:59pm,MTH-252,Module 2 — Written Homework (WHW 2) 🕓 3 hours,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982558|https://canvas.oregonstate.edu/courses/2080857/assignments/10586055/submissions/6660414,0.88
2026-07-06T23:59,Jul 6 by 11:59pm,MTH-252,Pre-Class Reading Quiz - 1.2 (RQ-1.2),quiz,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982557|https://canvas.oregonstate.edu/courses/2080857/assignments/10586005/submissions/6660414,0.88
2026-07-06T23:59,Jul 6 by 11:59pm,MTH-252,Reflection 2,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982559|https://canvas.oregonstate.edu/courses/2080857/assignments/10586063/submissions/6660414,0.88
2026-07-06T23:59,Jul 6 by 11:59pm,MTH-253,Week 2 Web Homework: Sequences,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26977767|https://canvas.oregonstate.edu/courses/2053263/assignments/10584372/submissions/6660414,0.88
2026-07-09T23:59,Jul 9 by 11:59pm,MTH-252,Mini-Exam 1 - Tues - Thur --> No Calculators,exam,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982562|https://canvas.oregonstate.edu/courses/2080857/assignments/10586045/submissions/6660414,0.88
2026-07-09T23:59,Jul 9 by 11:59pm,MTH-253,Unit 2 - Written Homework Assignment,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26885550|https://canvas.oregonstate.edu/courses/2053263/assignments/10553180/submissions/6660414,0.88
2026-07-10T23:59,Jul 10 by 11:59pm,MTH-252,Module 2 — Discussion Reflection 🕓 0.5 hour,discussion,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982561|https://canvas.oregonstate.edu/courses/2080857/assignments/10586022/submissions/6660414,0.88
2026-07-12T23:59,Jul 12 by 11:59pm,MTH-253,Week 3 Web Homework: Introduction to Series,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26977769|https://canvas.oregonstate.edu/courses/2053263/assignments/10584373/submissions/6660414,0.88
2026-07-13T22:30,Jul 13 by 10:30pm,MTH-253,Unit 2 Quiz,quiz,grades|modules|quizzes,https://canvas.oregonstate.edu/courses/2053263/modules/items/26885552|https://canvas.oregonstate.edu/courses/2053263/assignments/10553173/submissions/6660414|https://canvas.oregonstate.edu/courses/2053263/quizzes/3159592,0.88
2026-07-13T23:59,Jul 13 by 11:59pm,MTH-252,Achieve - 1.3 The Fundamental Theorem of Calculus,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982569|https://canvas.oregonstate.edu/courses/2080857/assignments/10586027/submissions/6660414,0.88
2026-07-13T23:59,Jul 13 by 11:59pm,MTH-252,Achieve - 4.10 Antiderivatives,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982570|https://canvas.oregonstate.edu/courses/2080857/assignments/10586042/submissions/6660414,0.88
2026-07-13T23:59,Jul 13 by 11:59pm,MTH-252,Module 3 — Written Homework (WHW 3) 🕓 3 hours,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982568|https://canvas.oregonstate.edu/courses/2080857/assignments/10586056/submissions/6660414,0.88
2026-07-13T23:59,Jul 13 by 11:59pm,MTH-252,Pre-Class Reading Quiz - 1.3 (RQ-1.3),quiz,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982567|https://canvas.oregonstate.edu/courses/2080857/assignments/10586002/submissions/6660414,0.88
2026-07-14T23:59,Jul 14 by 11:59pm,MTH-252,Module 3 — Discussion Reflection: Mini-Exam 1 🕓 0.5 hour,exam,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982571|https://canvas.oregonstate.edu/courses/2080857/assignments/10586021/submissions/6660414,0.88
2026-07-19T23:59,Jul 19 by 11:59pm,MTH-253,Week 4 Web Homework: The Divergence and Integral Tests,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26977967|https://canvas.oregonstate.edu/courses/2053263/assignments/10584431/submissions/6660414,0.88
2026-07-20T23:59,Jul 20 by 11:59pm,MTH-252,Achieve - 1.4 Integration Formulas and the Net Change Theorem,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982581|https://canvas.oregonstate.edu/courses/2080857/assignments/10586028/submissions/6660414,0.88
2026-07-20T23:59,Jul 20 by 11:59pm,MTH-252,Achieve - 1.5 Substitution,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982582|https://canvas.oregonstate.edu/courses/2080857/assignments/10586029/submissions/6660414,0.88
2026-07-20T23:59,Jul 20 by 11:59pm,MTH-252,Achieve - 1.6 Integrals Involving Exponential and Logarithmic Functions,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982583|https://canvas.oregonstate.edu/courses/2080857/assignments/10586030/submissions/6660414,0.88
2026-07-20T23:59,Jul 20 by 11:59pm,MTH-252,Module 4 — Written Homework (WHW 4) 🕓 3 hours,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982580|https://canvas.oregonstate.edu/courses/2080857/assignments/10586057/submissions/6660414,0.88
2026-07-20T23:59,Jul 20 by 11:59pm,MTH-252,RQ-1.4,quiz,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982577|https://canvas.oregonstate.edu/courses/2080857/assignments/10586010/submissions/6660414,0.88
2026-07-20T23:59,Jul 20 by 11:59pm,MTH-252,RQ-1.5,quiz,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982578|https://canvas.oregonstate.edu/courses/2080857/assignments/10586008/submissions/6660414,0.88
2026-07-20T23:59,Jul 20 by 11:59pm,MTH-252,RQ-1.6,quiz,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982579|https://canvas.oregonstate.edu/courses/2080857/assignments/10586001/submissions/6660414,0.88
2026-07-23T23:59,Jul 23 by 11:59pm,MTH-252,Mini-Exam 2 --> No Calculators on this Exam,exam,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982585|https://canvas.oregonstate.edu/courses/2080857/assignments/10586048/submissions/6660414,0.88
2026-07-24T23:59,Jul 24 by 11:59pm,MTH-252,Module 4 — Discussion Reflection: WHW 4 🕓 0.5 hour,discussion,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982584|https://canvas.oregonstate.edu/courses/2080857/assignments/10586020/submissions/6660414,0.88
2026-07-26T23:59,Jul 26 by 11:59pm,MTH-253,Week 5 Web Homework: Comparison and Alternate Series Tests,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26977977|https://canvas.oregonstate.edu/courses/2053263/assignments/10584434/submissions/6660414,0.88
2026-07-27T23:59,Jul 27 by 11:59pm,MTH-252,Achieve - 3.1 Integration by Parts,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982595|https://canvas.oregonstate.edu/courses/2080857/assignments/10586037/submissions/6660414,0.88
2026-07-27T23:59,Jul 27 by 11:59pm,MTH-252,Achieve - 3.2 Trigonometric Integrals,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982596|https://canvas.oregonstate.edu/courses/2080857/assignments/10586038/submissions/6660414,0.88
2026-07-27T23:59,Jul 27 by 11:59pm,MTH-252,Module 5 — Written Homework (WHW 5) 🕓 3 hours,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982594|https://canvas.oregonstate.edu/courses/2080857/assignments/10586058/submissions/6660414,0.88
2026-07-27T23:59,Jul 27 by 11:59pm,MTH-252,RQ-3.1,quiz,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982591|https://canvas.oregonstate.edu/courses/2080857/assignments/10586007/submissions/6660414,0.88
2026-07-27T23:59,Jul 27 by 11:59pm,MTH-252,RQ-3.2,quiz,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982592|https://canvas.oregonstate.edu/courses/2080857/assignments/10586013/submissions/6660414,0.88
2026-07-28T23:59,Jul 28 by 11:59pm,MTH-252,Module 5 — Discussion Reflection: Mini-Exam 2 🕓 0.5 hour,exam,grades|modules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982593|https://canvas.oregonstate.edu/courses/2080857/assignments/10586019/submissions/6660414,0.88
2026-07-28T23:59,Jul 28 by 11:59pm,MTH-253,Unit 3 Discussion Board - Submitted in Week 6 (Required),discussion,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26885558|https://canvas.oregonstate.edu/courses/2053263/assignments/10553177/submissions/6660414,0.88
2026-07-30T23:59,Jul 30 by 11:59pm,MTH-253,Unit 3 - Written Homework Assignment,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26885565|https://canvas.oregonstate.edu/courses/2053263/assignments/10553181/submissions/6660414,0.88
2026-08-02T23:59,Aug 2 by 11:59pm,MTH-253,Week 6 Web Homework: Ratio and Root Tests,assignment,grades|modules,https://canvas.oregonstate.edu/courses/2053263/modules/items/26977980|https://canvas.oregonstate.edu/courses/2053263/assignments/10584435/submissions/6660414,0.88
