issue_id,severity,issue_type,course_id,course_code,page_id,title,requested_url,resolved_url,source_file,detail,access_resolution_status,access_resolution_reason,access_final_action
issue-0001,medium,screenshot_failed,,,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,,,,warnings.json,"Error: {""code"":-32000,""message"":""Unable to capture screenshot""}",,,
issue-0002,high,capture_failed,2053526,PHY-212,,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557036,,warnings.json,Error: Timed out waiting for tab 1798185449 to navigate to https://canvas.oregonstate.edu/courses/2053526/assignments/10557036.,resolved_live_content_captured,Live Chrome retry exposed readable student-facing content.,Use live_access_retry.csv text as evidence; no access blocker remains.
issue-0003,low,redirected,2080857,MTH-252,00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026,INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/assignments,https://canvas.oregonstate.edu/courses/2080857,metadata/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0004,low,redirected,2080857,MTH-252,00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026,INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/quizzes,https://canvas.oregonstate.edu/courses/2080857,metadata/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0005,low,redirected,2053263,MTH-253,00011-mth-253-assignments-sequences-and-series-mth-253z-400-u2026,SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/assignments,https://canvas.oregonstate.edu/courses/2053263,metadata/00011-mth-253-assignments-sequences-and-series-mth-253z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0006,low,redirected,2053526,PHY-212,00024-phy-212-quizzes-general-physics-with-calculus-ph-212-400-u2026,GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526/quizzes,https://canvas.oregonstate.edu/courses/2053526,metadata/00024-phy-212-quizzes-general-physics-with-calculus-ph-212-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0007,low,redirected,2080857,MTH-252,00025-mth-252-module-item-whw1-key-pdf-integral-calculus-mth-252z-400-u2026,WHW1-Key.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982502,https://canvas.oregonstate.edu/courses/2080857/files/119223581?module_item_id=26982502,metadata/00025-mth-252-module-item-whw1-key-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0008,low,redirected,2080857,MTH-252,00026-mth-252-module-item-whw2-key-pdf-integral-calculus-mth-252z-400-u2026,WHW2-Key.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982503,https://canvas.oregonstate.edu/courses/2080857/files/119223582?module_item_id=26982503,metadata/00026-mth-252-module-item-whw2-key-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0009,low,redirected,2080857,MTH-252,00027-mth-252-module-item-whw3-key-pdf-integral-calculus-mth-252z-400-u2026,WHW3-Key.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982504,https://canvas.oregonstate.edu/courses/2080857/files/119223584?module_item_id=26982504,metadata/00027-mth-252-module-item-whw3-key-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0010,low,redirected,2080857,MTH-252,00028-mth-252-module-item-whw4-key-pdf-integral-calculus-mth-252z-400-u2026,WHW4-Key.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982505,https://canvas.oregonstate.edu/courses/2080857/files/119223460?module_item_id=26982505,metadata/00028-mth-252-module-item-whw4-key-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0011,low,redirected,2080857,MTH-252,00029-mth-252-module-item-whw5-key-pdf-integral-calculus-mth-252z-400-u2026,WHW5-Key.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982506,https://canvas.oregonstate.edu/courses/2080857/files/119223569?module_item_id=26982506,metadata/00029-mth-252-module-item-whw5-key-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0012,low,redirected,2080857,MTH-252,00030-mth-252-module-item-start-here-overview-integral-calculus-mth-252z-400-u2026,Start Here — Overview: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982519,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-overview?module_item_id=26982519,metadata/00030-mth-252-module-item-start-here-overview-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0013,low,redirected,2080857,MTH-252,00031-mth-252-module-item-start-here-instructor-information-communication-policy-integral-calculus-mth-252z-400-u2026,Start Here — Instructor Information & Communication Policy: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982520,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-instructor-information-and-communication-policy?module_item_id=26982520,metadata/00031-mth-252-module-item-start-here-instructor-information-communication-policy-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0014,low,redirected,2080857,MTH-252,00032-mth-252-module-item-syllabus-and-calendar-as-of-7-05-both-sections-400-and-401-integral-calculus-mth-252z-400-u2026,Syllabus and Calendar (as of 7/05) --> Both Sections 400 and 401: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982522,https://canvas.oregonstate.edu/courses/2080857/pages/syllabus-and-calendar-as-of-7-slash-05-%3E-both-sections-400-and-401?module_item_id=26982522,metadata/00032-mth-252-module-item-syllabus-and-calendar-as-of-7-05-both-sections-400-and-401-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
