course_id,course_code,surface_type,evidence_id,source_page_id,source_url,source_title,object_id,object_type,object_title,target_url,in_modules,module_ids,module_titles,module_item_ids,has_task,task_id,task_type,due_text,available_text,points_text,surface_due_text,surface_available_text,surface_points_text,classification_category,confidence,crosscheck_status,detail
2080857,MTH-252,grades,ev-01549,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Achieve - 1.1 Approximating Areas,obj-mth-252-assignment-10586025,assignment,Achieve - 1.1 Approximating Areas,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025/submissions/6660414,yes,mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982551,yes,task-00002-mth-252-graded-task-achieve-1-1-approximating-areas,graded_task,Jun 29 by 11:59pm,,5,Jun 29 by 11:59pm,,,graded_task,high,grades_surface_task_in_modules,cells=Achieve - 1.1 Approximating Areas Achieve | Jun 29 by 11:59pm |  |  | Click to test a different score Click to test a different score 8.33 / 100 8.33 8.33 8.33 graded 3252097 10586025 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Achieve - 1.1 Approximating Areas Achieve Jun 29 by 11:59pm Click to test a different score Click to test a different score 8.33 / 100 8.33 8.33 8.33 graded 3252097 10586025 Grade Info See scoring details See rubric results 0 comments 0
2080857,MTH-252,grades,ev-01550,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Intro Reflect 1,obj-mth-252-assignment-10586044,assignment,Intro Reflect 1,https://canvas.oregonstate.edu/courses/2080857/assignments/10586044/submissions/6660414,yes,mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982550,yes,task-00020-mth-252-graded-task-intro-reflect-1,graded_task,Jun 29 by 11:59pm,,5,Jun 29 by 11:59pm,,,graded_task,high,grades_surface_task_in_modules,cells=Intro Reflect 1 Achieve | Jun 29 by 11:59pm |  |  | Click to test a different score Click to test a different score 0 / 100 0.0 0 0 graded 3252097 10586044 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Intro Reflect 1 Achieve Jun 29 by 11:59pm Click to test a different score Click to test a different score 0 / 100 0.0 0 0 graded 3252097 10586044 Grade Info See scoring details See rubric results 0 comments 0
2080857,MTH-252,grades,ev-01551,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Achieve - 1.2 The Definite Integral,obj-mth-252-assignment-10586026,assignment,Achieve - 1.2 The Definite Integral,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026/submissions/6660414,yes,mod-mth-252-006-module-2-intro-to-definite-integral-and-properties,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982560,yes,task-00003-mth-252-graded-task-achieve-1-2-the-definite-integral,graded_task,Jul 6 by 11:59pm,,5,Jul 6 by 11:59pm,,100,graded_task,high,grades_surface_task_in_modules,cells=Achieve - 1.2 The Definite Integral Achieve | Jul 6 by 11:59pm |  |  | Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586026 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Achieve - 1.2 The Definite Integral Achieve Jul 6 by 11:59pm Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586026 Grade Info See scoring details See rubric results 0 comments 0
2080857,MTH-252,grades,ev-01552,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Module 2 — Written Homework (WHW 2) 🕓 3 hours,obj-mth-252-assignment-10586055,assignment,Module 2 — Written Homework (WHW 2) 🕓 3 hours,https://canvas.oregonstate.edu/courses/2080857/assignments/10586055/submissions/6660414,yes,mod-mth-252-006-module-2-intro-to-definite-integral-and-properties,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982558,yes,task-00031-mth-252-graded-task-module-2-written-homework-whw-2-3-hours,graded_task,Jul 6 by 11:59pm,,5,Jul 6 by 11:59pm,,,graded_task,high,grades_surface_task_in_modules,cells=Module 2 — Written Homework (WHW 2) 🕓 3 hours Written Homework (WHWs) | Jul 6 by 11:59pm |  |  | Click to test a different score Click to test a different score - unsubmitted 3252098 10586055 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Module 2 — Written Homework (WHW 2) 🕓 3 hours Written Homework (WHWs) Jul 6 by 11:59pm Click to test a different score Click to test a different score - unsubmitted 3252098 10586055 Grade Info See scoring details See rubric results 0 comments 0
2080857,MTH-252,grades,ev-01553,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Module 1 — Written Homework (WHW 1) 🕓 2 hours,obj-mth-252-assignment-10586053,assignment,Module 1 — Written Homework (WHW 1) 🕓 2 hours,https://canvas.oregonstate.edu/courses/2080857/assignments/10586053/submissions/6660414,yes,mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982549,yes,task-00029-mth-252-graded-task-module-1-written-homework-whw-1-2-hours,graded_task,Jul 6 by 11:59pm,,5,Jul 6 by 11:59pm,,,graded_task,high,grades_surface_task_in_modules,cells=Module 1 — Written Homework (WHW 1) 🕓 2 hours Written Homework (WHWs) | Jul 6 by 11:59pm |  |  | Click to test a different score Click to test a different score - unsubmitted 3252098 10586053 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Module 1 — Written Homework (WHW 1) 🕓 2 hours Written Homework (WHWs) Jul 6 by 11:59pm Click to test a different score Click to test a different score - unsubmitted 3252098 10586053 Grade Info See scoring details See rubric results 0 comments 0
2080857,MTH-252,grades,ev-01554,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Mini-Exam 1 - Tues - Thur --> No Calculators,obj-mth-252-assignment-10586045,assignment,Mini-Exam 1 - Tues - Thur --> No Calculators,https://canvas.oregonstate.edu/courses/2080857/assignments/10586045/submissions/6660414,yes,mod-mth-252-007-mini-exam-1-available-tuesday-thursday-of-week-3,Mini-Exam 1: Available Tuesday - Thursday of Week 3,mi-mth-252-26982562,yes,task-00022-mth-252-graded-task-mini-exam-1-tues-thur-no-calculators,graded_task,Jul 9 by 11:59pm,,5,Jul 9 by 11:59pm,,,graded_task,high,grades_surface_task_in_modules,cells=Mini-Exam 1 - Tues - Thur --> No Calculators Mini-Exams 1 | Jul 9 by 11:59pm |  |  | Click to test a different score Click to test a different score - unsubmitted 3252101 10586045 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Mini-Exam 1 - Tues - Thur --> No Calculators Mini-Exams 1 Jul 9 by 11:59pm Click to test a different score Click to test a different score - unsubmitted 3252101 10586045 Grade Info See scoring details See rubric results 0 comments 0
2080857,MTH-252,grades,ev-01555,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Reflection 2,obj-mth-252-assignment-10586063,assignment,Reflection 2,https://canvas.oregonstate.edu/courses/2080857/assignments/10586063/submissions/6660414,yes,mod-mth-252-006-module-2-intro-to-definite-integral-and-properties,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982559,yes,task-00039-mth-252-graded-task-reflection-2,graded_task,Jul 9 by 11:59pm,,5,Jul 9 by 11:59pm,,100,graded_task,high,grades_surface_task_in_modules,cells=Reflection 2 Achieve | Jul 9 by 11:59pm |  |  | Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586063 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Reflection 2 Achieve Jul 9 by 11:59pm Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586063 Grade Info See scoring details See rubric results 0 comments 0
2080857,MTH-252,grades,ev-01556,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Achieve - 1.3 The Fundamental Theorem of Calculus,obj-mth-252-assignment-10586027,assignment,Achieve - 1.3 The Fundamental Theorem of Calculus,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027/submissions/6660414,yes,mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982569,yes,task-00004-mth-252-graded-task-achieve-1-3-the-fundamental-theorem-of-calculus,graded_task,Jul 13 by 11:59pm,,5,Jul 13 by 11:59pm,,100,graded_task,high,grades_surface_task_in_modules,cells=Achieve - 1.3 The Fundamental Theorem of Calculus Achieve | Jul 13 by 11:59pm |  |  | Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586027 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Achieve - 1.3 The Fundamental Theorem of Calculus Achieve Jul 13 by 11:59pm Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586027 Grade Info See scoring details See rubric results 0 comments 0
2080857,MTH-252,grades,ev-01557,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Achieve - 4.10 Antiderivatives,obj-mth-252-assignment-10586042,assignment,Achieve - 4.10 Antiderivatives,https://canvas.oregonstate.edu/courses/2080857/assignments/10586042/submissions/6660414,yes,mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982570,yes,task-00018-mth-252-graded-task-achieve-4-10-antiderivatives,graded_task,Jul 13 by 11:59pm,,5,Jul 13 by 11:59pm,,100,graded_task,high,grades_surface_task_in_modules,cells=Achieve - 4.10 Antiderivatives Achieve | Jul 13 by 11:59pm |  |  | Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586042 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Achieve - 4.10 Antiderivatives Achieve Jul 13 by 11:59pm Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586042 Grade Info See scoring details See rubric results 0 comments 0
2080857,MTH-252,grades,ev-01558,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,Module 3 — Written Homework (WHW 3) 🕓 3 hours,obj-mth-252-assignment-10586056,assignment,Module 3 — Written Homework (WHW 3) 🕓 3 hours,https://canvas.oregonstate.edu/courses/2080857/assignments/10586056/submissions/6660414,yes,mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982568,yes,task-00032-mth-252-graded-task-module-3-written-homework-whw-3-3-hours,graded_task,Jul 13 by 11:59pm,,5,Jul 13 by 11:59pm,,,graded_task,high,grades_surface_task_in_modules,cells=Module 3 — Written Homework (WHW 3) 🕓 3 hours Written Homework (WHWs) | Jul 13 by 11:59pm |  |  | Click to test a different score Click to test a different score - unsubmitted 3252098 10586056 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Module 3 — Written Homework (WHW 3) 🕓 3 hours Written Homework (WHWs) Jul 13 by 11:59pm Click to test a different score Click to test a different score - unsubmitted 3252098 10586056 Grade Info See scoring details See rubric results 0 comments 0
