captured_file_id,course_id,course_code,canvas_file_id,object_ids,download_ids,download_manifest_ids,hrefs,source_page_ids,source_page_titles,desktop_source_path,repo_file_path,original_file_name,manifest_file_names,file_type,byte_size,sha256,match_score,capture_status,parse_status,parsed_markdown_path,captured_at,notes
captured-0001-phy-212-118706071,2053526,PHY-212,118706071,obj-phy-212-download-118706071,dl-phy-212-0040|dl-phy-212-0041,download-0040|download-0041,https://canvas.oregonstate.edu/courses/2053526/files/118706071/download?download_frd=1|https://canvas.oregonstate.edu/courses/2053526/files/118706071/download?wrap=1,00272-phy-212-module-item-gradescope-general-physics-with-calculus-ph-212-400-u2026,Gradescope: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/PHY-212_118706071_submittinghwguidenew.pdf,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/PHY-212_118706071_submittinghwguidenew.pdf,PHY-212_118706071_submittinghwguidenew.pdf,Scannable or GeniusScan,pdf,717103,20d4c41189f89d6922ca9ade54fc12ee13757a95bb5d9df69d3c9d3a597e35f2,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0001-phy-212-118706071.md,2026-06-26T23:45:13.796984+00:00,
captured-0002-phy-212-118705530,2053526,PHY-212,118705530,obj-phy-212-download-118705530,dl-phy-212-0038|dl-phy-212-0039,download-0038|download-0039,https://canvas.oregonstate.edu/courses/2053526/files/118705530/download?download_frd=1|https://canvas.oregonstate.edu/courses/2053526/files/118705530/download?wrap=1,00272-phy-212-module-item-gradescope-general-physics-with-calculus-ph-212-400-u2026,Gradescope: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/PHY-212_118705530_gradescope_tips.pdf,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/PHY-212_118705530_gradescope_tips.pdf,PHY-212_118705530_gradescope_tips.pdf,CamScanner,pdf,1280796,0906f8d88e6cbd6d50a9716dd22e2d045e9db8bc0e7a4cf587b13d6968cf78b4,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0002-phy-212-118705530.md,2026-06-26T23:45:13.796984+00:00,
captured-0003-phy-212-118705575,2053526,PHY-212,118705575,obj-phy-212-download-118705575,dl-phy-212-0042|dl-phy-212-0094|dl-phy-212-0095,download-0042|download-0094|download-0095,https://canvas.oregonstate.edu/courses/2053526/files/118705575/download?download_frd=1,00273-phy-212-module-item-proctorio-setup-and-troubleshooting-general-physics-with-calculus-ph-212-400-u2026|00441-phy-212-linked-detail-proctorio-guide-pdf-general-physics-with-calculus-ph-212-400-u2026|00442-phy-212-linked-detail-proctorio-setup-and-troubleshooting-general-physics-with-calculus-ph-212-400-u2026,Proctorio Guide.pdf: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026)|Proctorio setup and troubleshooting: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/PHY-212_118705575_Proctorio Guide.pdf,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/PHY-212_118705575_Proctorio Guide.pdf,PHY-212_118705575_Proctorio Guide.pdf,Download|Proctorio Guide|Proctorio Guide.pdf,pdf,199373,de9d502c534d9cc0f27b9ccbd985365c6ce8e820e1d8804639d28437b1fc18d6,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0003-phy-212-118705575.md,2026-06-26T23:45:13.796984+00:00,
captured-0004-mth-253-118558963,2053263,MTH-253,118558963,obj-mth-253-download-118558963,dl-mth-253-0031|dl-mth-253-0081|dl-mth-253-0084|dl-mth-253-0092,download-0031|download-0081|download-0084|download-0092,https://canvas.oregonstate.edu/courses/2053263/files/118558963/download?download_frd=1,00176-mth-253-module-item-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026|00416-mth-253-linked-detail-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026|00419-mth-253-linked-detail-improper-integrals-pdf-sequences-and-series-mth-253z-400-u2026|00438-mth-253-linked-detail-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026,Improper Integrals.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026)|Unit 1 - Learning Materials: SEQUENCES AND SERIES (MTH_253Z_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558963_Improper Integrals.pdf,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558963_Improper Integrals.pdf,MTH-253_118558963_Improper Integrals.pdf,Download|Improper Integrals.pdf,pdf,90921,eed9a9eb3f93ead0f3289a9b873f02e71ddbb5ed67767427901bc6d641188d89,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0004-mth-253-118558963.md,2026-06-26T23:45:13.796984+00:00,
captured-0005-mth-253-118558956,2053263,MTH-253,118558956,obj-mth-253-download-118558956,dl-mth-253-0033|dl-mth-253-0087,download-0033|download-0087,https://canvas.oregonstate.edu/courses/2053263/files/118558956/download?download_frd=1,00210-mth-253-module-item-mth-253-final-exam-practice-problems-pdf-sequences-and-series-mth-253z-400-u2026|00436-mth-253-linked-detail-mth-253-final-exam-practice-problems-pdf-sequences-and-series-mth-253z-400-u2026,MTH 253 - Final Exam Practice Problems.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558956_MTH 253 - Final Exam Practice Problems.pdf,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558956_MTH 253 - Final Exam Practice Problems.pdf,MTH-253_118558956_MTH 253 - Final Exam Practice Problems.pdf,MTH 253 - Final Exam Practice Problems.pdf,pdf,356513,5a0579c3d8b49b76438fe12a337fb081fd20024d9987b592921e6027845f4ac7,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0005-mth-253-118558956.md,2026-06-26T23:45:13.796984+00:00,
captured-0006-mth-253-118558944,2053263,MTH-253,118558944,obj-mth-253-download-118558944,dl-mth-253-0034|dl-mth-253-0088,download-0034|download-0088,https://canvas.oregonstate.edu/courses/2053263/files/118558944/download?download_frd=1,00211-mth-253-module-item-mth-253-final-exam-practice-problems-answers-pdf-sequences-and-series-mth-253z-400-u2026|00437-mth-253-linked-detail-mth-253-final-exam-practice-problems-answers-pdf-sequences-and-series-mth-253z-400-u2026,MTH 253 - Final Exam Practice Problems - Answers.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558944_MTH 253 - Final Exam Practice Problems - Answers.pdf,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558944_MTH 253 - Final Exam Practice Problems - Answers.pdf,MTH-253_118558944_MTH 253 - Final Exam Practice Problems - Answers.pdf,MTH 253 - Final Exam Practice Problems - Answers.pdf,pdf,440868,1f9ffe611454873186637f0a19c8c38edf64c3f8bf1dcf59668043684b144225,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0006-mth-253-118558944.md,2026-06-26T23:45:13.796984+00:00,
captured-0007-mth-253-118558936,2053263,MTH-253,118558936,obj-mth-253-download-118558936,dl-mth-253-0028|dl-mth-253-0077|dl-mth-253-0078|dl-mth-253-0089,download-0028|download-0077|download-0078|download-0089,https://canvas.oregonstate.edu/courses/2053263/files/118558936/download?download_frd=1,00176-mth-253-module-item-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026|00415-mth-253-linked-detail-evaluating-limits-pdf-sequences-and-series-mth-253z-400-u2026|00416-mth-253-linked-detail-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026|00438-mth-253-linked-detail-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026,Evaluating Limits.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026)|Unit 1 - Learning Materials: SEQUENCES AND SERIES (MTH_253Z_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558936_Evaluating Limits.pdf,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558936_Evaluating Limits.pdf,MTH-253_118558936_Evaluating Limits.pdf,Download|Evaluating Limits.pdf,pdf,188700,7630dd0e723d541b15b641e0a3b45d54a9d2232d2c689c6287fb4cc4dad35cae,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0007-mth-253-118558936.md,2026-06-26T23:45:13.796984+00:00,
captured-0008-mth-253-118558899,2053263,MTH-253,118558899,obj-mth-253-download-118558899,dl-mth-253-0027|dl-mth-253-0075|dl-mth-253-0076,download-0027|download-0075|download-0076,https://canvas.oregonstate.edu/courses/2053263/files/118558899/download?download_frd=1,00165-mth-253-module-item-start-here-syllabus-sequences-and-series-mth-253z-400-u2026|00412-mth-253-linked-detail-start-here-syllabus-sequences-and-series-mth-253z-400-u2026|00413-mth-253-linked-detail-mth-253-weekly-schedule-docx-sequences-and-series-mth-253z-400-u2026,MTH 253 Weekly Schedule.docx: SEQUENCES AND SERIES (MTH_253Z_400_U2026)|Start Here - Syllabus: SEQUENCES AND SERIES (MTH_253Z_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558899_MTH 253 Weekly Schedule.docx,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558899_MTH 253 Weekly Schedule.docx,MTH-253_118558899_MTH 253 Weekly Schedule.docx,Download|MTH 253 Weekly Schedule.docx,docx,16330,2c74e981da776467c584b5a843c292a7d7e6685440a7102b12f410bae6b2d958,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0008-mth-253-118558899.md,2026-06-26T23:45:13.796984+00:00,
captured-0009-mth-253-118558879,2053263,MTH-253,118558879,obj-mth-253-download-118558879,dl-mth-253-0030|dl-mth-253-0080|dl-mth-253-0083|dl-mth-253-0091,download-0030|download-0080|download-0083|download-0091,https://canvas.oregonstate.edu/courses/2053263/files/118558879/download?download_frd=1,00176-mth-253-module-item-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026|00416-mth-253-linked-detail-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026|00418-mth-253-linked-detail-l-hospital-s-rule-pdf-sequences-and-series-mth-253z-400-u2026|00438-mth-253-linked-detail-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026,L'Hospital's Rule.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026)|Unit 1 - Learning Materials: SEQUENCES AND SERIES (MTH_253Z_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558879_L-Hospital-s Rule.pdf,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558879_L-Hospital-s Rule.pdf,MTH-253_118558879_L-Hospital-s Rule.pdf,Download|L'Hospital's Rule.pdf,pdf,152338,57181616901647cd7f6d8d01e276079fd5782b2969a2c1d027d67359077717b8,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0009-mth-253-118558879.md,2026-06-26T23:45:13.796984+00:00,
captured-0010-mth-253-118558848,2053263,MTH-253,118558848,obj-mth-253-download-118558848,dl-mth-253-0029|dl-mth-253-0079|dl-mth-253-0082|dl-mth-253-0090,download-0029|download-0079|download-0082|download-0090,https://canvas.oregonstate.edu/courses/2053263/files/118558848/download?download_frd=1,00176-mth-253-module-item-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026|00416-mth-253-linked-detail-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026|00417-mth-253-linked-detail-infinite-limits-pdf-sequences-and-series-mth-253z-400-u2026|00438-mth-253-linked-detail-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026,Infinite Limits.pdf: SEQUENCES AND SERIES (MTH_253Z_400_U2026)|Unit 1 - Learning Materials: SEQUENCES AND SERIES (MTH_253Z_400_U2026),/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558848_Infinite Limits.pdf,/Users/jake/Developer/SU26/canvas/indexer/output/downloaded_files/MTH-253_118558848_Infinite Limits.pdf,MTH-253_118558848_Infinite Limits.pdf,Download|Infinite Limits.pdf,pdf,122497,8459fcf6992cd2b420e72ef07ec82ecf51c2652aaa571c63e1a76a52ee4cadb6,100,copied_to_repo,parsed,/Users/jake/Developer/SU26/canvas/indexer/output/parsed_files/captured-0010-mth-253-118558848.md,2026-06-26T23:45:13.796984+00:00,
