suspicion_id,course_id,course_code,severity,category,object_id,task_id,module_id,module_item_id,page_id,title,source_url,related_url,evidence_id,review_id,status,detail,suggested_action
sus-00001,2080857,MTH-252,high,module_crosscheck,obj-mth-252-quiz-3167659,task-00255-mth-252-blocked-or-broken-pre-class-reading-quiz-1-1-rq-1-1-integral-calculus-mth-252z-400-u2026,mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums,mi-mth-252-26982548,00053-mth-252-module-item-pre-class-reading-quiz-1-1-rq-1-1-integral-calculus-mth-252z-400-u2026,Pre-Class Reading Quiz - 1.1 (RQ-1.1),https://canvas.oregonstate.edu/courses/2080857/modules,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659?module_item_id=26982548,,,module_item_blocked,capture_status=captured; issue_types=redirected|page_not_found,Inspect this module item or add a retry/rule if it contains required work.
sus-00002,2080857,MTH-252,high,module_crosscheck,obj-mth-252-quiz-3167655,task-00257-mth-252-blocked-or-broken-pre-class-reading-quiz-1-3-rq-1-3-integral-calculus-mth-252z-400-u2026,mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus,mi-mth-252-26982567,00072-mth-252-module-item-pre-class-reading-quiz-1-3-rq-1-3-integral-calculus-mth-252z-400-u2026,Pre-Class Reading Quiz - 1.3 (RQ-1.3),https://canvas.oregonstate.edu/courses/2080857/modules,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655?module_item_id=26982567,,,module_item_blocked,capture_status=captured; issue_types=redirected|page_not_found,Inspect this module item or add a retry/rule if it contains required work.
sus-00003,2080857,MTH-252,high,module_crosscheck,obj-mth-252-quiz-3167662,task-00259-mth-252-blocked-or-broken-rq-1-5-integral-calculus-mth-252z-400-u2026,mod-mth-252-009-module-4-introduction-to-applications,mi-mth-252-26982578,00083-mth-252-module-item-rq-1-5-integral-calculus-mth-252z-400-u2026,RQ-1.5,https://canvas.oregonstate.edu/courses/2080857/modules,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167662?module_item_id=26982578,,,module_item_blocked,capture_status=captured; issue_types=redirected|page_not_found,Inspect this module item or add a retry/rule if it contains required work.
sus-00004,2080857,MTH-252,high,module_crosscheck,obj-mth-252-quiz-3167654,task-00260-mth-252-blocked-or-broken-rq-1-6-integral-calculus-mth-252z-400-u2026,mod-mth-252-009-module-4-introduction-to-applications,mi-mth-252-26982579,00084-mth-252-module-item-rq-1-6-integral-calculus-mth-252z-400-u2026,RQ-1.6,https://canvas.oregonstate.edu/courses/2080857/modules,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167654?module_item_id=26982579,,,module_item_blocked,capture_status=captured; issue_types=redirected|page_not_found,Inspect this module item or add a retry/rule if it contains required work.
sus-00005,2080857,MTH-252,medium,module_crosscheck,obj-mth-252-external-url-26982680,task-00073-mth-252-prep-reading-area-accumulation-graph-analysis-openstax-specific-links-to-an-external-site,mod-mth-252-023-1-3-fundamental-theorem-of-calculus-i-ii-antiderivatives,mi-mth-252-26982680,,Area Accumulation Graph Analysis (OpenStax Specific) Links to an external site.,https://canvas.oregonstate.edu/courses/2080857/modules,https://youtu.be/yjJ1JIvX7t4,,,module_item_external_unvisited,capture_status=external_unvisited; issue_types=,Inspect this module item or add a retry/rule if it contains required work.
sus-00006,2080857,MTH-252,medium,module_crosscheck,obj-mth-252-external-url-26982681,task-00095-mth-252-external-tool-fundamental-theorem-of-calc-ftoc-definite-integrals-links-to-an-external-site,mod-mth-252-023-1-3-fundamental-theorem-of-calculus-i-ii-antiderivatives,mi-mth-252-26982681,,Fundamental Theorem of Calc (FToC): Definite integrals Links to an external site.,https://canvas.oregonstate.edu/courses/2080857/modules,https://youtu.be/ZTqEj1NyGPw,,,module_item_external_unvisited,capture_status=external_unvisited; issue_types=,Inspect this module item or add a retry/rule if it contains required work.
sus-00007,2080857,MTH-252,medium,module_crosscheck,obj-mth-252-external-url-26982682,task-00093-mth-252-external-tool-ftoc-setup-and-solve-links-to-an-external-site,mod-mth-252-023-1-3-fundamental-theorem-of-calculus-i-ii-antiderivatives,mi-mth-252-26982682,,FToC: Setup and solve Links to an external site.,https://canvas.oregonstate.edu/courses/2080857/modules,https://youtu.be/YE9jpfxEFYk,,,module_item_external_unvisited,capture_status=external_unvisited; issue_types=,Inspect this module item or add a retry/rule if it contains required work.
sus-00008,2080857,MTH-252,medium,module_crosscheck,obj-mth-252-external-url-26982683,task-00090-mth-252-external-tool-ftoc-example-links-to-an-external-site,mod-mth-252-023-1-3-fundamental-theorem-of-calculus-i-ii-antiderivatives,mi-mth-252-26982683,,FToC: Example Links to an external site.,https://canvas.oregonstate.edu/courses/2080857/modules,https://youtu.be/gJtkTRjqM6I,,,module_item_external_unvisited,capture_status=external_unvisited; issue_types=,Inspect this module item or add a retry/rule if it contains required work.
sus-00009,2080857,MTH-252,medium,module_crosscheck,obj-mth-252-external-url-26982684,task-00092-mth-252-external-tool-ftoc-polynomial-example-links-to-an-external-site,mod-mth-252-023-1-3-fundamental-theorem-of-calculus-i-ii-antiderivatives,mi-mth-252-26982684,,FToC: Polynomial example Links to an external site.,https://canvas.oregonstate.edu/courses/2080857/modules,https://youtu.be/X5ke8bUiiQM,,,module_item_external_unvisited,capture_status=external_unvisited; issue_types=,Inspect this module item or add a retry/rule if it contains required work.
sus-00010,2080857,MTH-252,medium,module_crosscheck,obj-mth-252-external-url-26982685,task-00094-mth-252-external-tool-ftoc-trig-example-links-to-an-external-site,mod-mth-252-023-1-3-fundamental-theorem-of-calculus-i-ii-antiderivatives,mi-mth-252-26982685,,FToC: Trig example Links to an external site.,https://canvas.oregonstate.edu/courses/2080857/modules,https://youtu.be/GwOhAkU-A0M,,,module_item_external_unvisited,capture_status=external_unvisited; issue_types=,Inspect this module item or add a retry/rule if it contains required work.
