module_item_id,canvas_module_item_id,course_id,course_code,module_id,module_order,item_order,title,item_type,destination_canvas_object_type,destination_canvas_object_id,destination_object_id,destination_page_id,href,external_href,indent,requirements,requirement_raw,capture_status,source_page_id,source_url,source_text_sample
mi-mth-252-26982502,26982502,2080857,MTH-252,mod-mth-252-001-keys-solutions,1,1,WHW1-Key.pdf,Attachment,file,119223581,obj-mth-252-file-119223581,00026-mth-252-module-item-whw1-key-pdf-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982502,,0,,context_module_item student-view attachment indent_0 _requirement Attachment_119223581,captured,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,Attachment WHW1-Key.pdf WHW1-Key.pdf 1 attachment 26982502 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Ma
mi-mth-252-26982519,26982519,2080857,MTH-252,mod-mth-252-002-start-here,2,2,Start Here — Overview,Page,page,start-here-overview,obj-mth-252-page-start-here-overview,00027-mth-252-module-item-start-here-overview-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982519,,0,progression|must_view,context_module_item student-view wiki_page indent_0 progression_requirement must_view_requirement WikiPage_10724900 dupeable,captured,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,Page Start Here — Overview Start Here — Overview 1 must_view wiki_page 26982519 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in
mi-mth-252-26982520,26982520,2080857,MTH-252,mod-mth-252-002-start-here,2,3,Start Here — Instructor Information & Communication Policy,Page,page,start-here-instructor-information-and-communication-policy,obj-mth-252-page-start-here-instructor-information-and-communication-policy,00028-mth-252-module-item-start-here-instructor-information-communication-policy-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982520,,0,progression|must_view,context_module_item student-view wiki_page indent_0 progression_requirement must_view_requirement WikiPage_10724899 dupeable,captured,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,Page Start Here — Instructor Information & Communication Policy Start Here — Instructor Information & Communication Policy 2 must_view wiki_page 26982520 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item ha
mi-mth-252-26982522,26982522,2080857,MTH-252,mod-mth-252-002-start-here,2,4,Syllabus and Calendar (as of 6/21) --> Both Sections 400 and 401,Page,page,syllabus-and-calendar-as-of-6-slash-21-%3E-both-sections-400-and-401,obj-mth-252-page-syllabus-and-calendar-as-of-6-slash-21-3e-both-sections-400-and-401,00029-mth-252-module-item-syllabus-and-calendar-as-of-6-21-both-sections-400-and-401-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982522,,0,progression|must_view,context_module_item student-view wiki_page indent_0 progression_requirement must_view_requirement WikiPage_10724905 dupeable,captured,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,Page Syllabus and Calendar (as of 6/21) --> Both Sections 400 and 401 Syllabus and Calendar (as of 6/21) --> Both Sections 400 and 401 3 must_view wiki_page 26982522 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Mo
mi-mth-252-26990499,26990499,2080857,MTH-252,mod-mth-252-002-start-here,2,5,Get your MTH 252Z Course Materials! (Access Code + Ebook),Page,page,get-your-mth-252z-course-materials-access-code-+-ebook,obj-mth-252-page-get-your-mth-252z-course-materials-access-code-ebook,00030-mth-252-module-item-get-your-mth-252z-course-materials-access-code-ebook-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules/items/26990499,,0,,context_module_item student-view wiki_page indent_0 _requirement WikiPage_10729385 dupeable,captured,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,Page Get your MTH 252Z Course Materials! (Access Code + Ebook) Get your MTH 252Z Course Materials! (Access Code + Ebook) 4 wiki_page 26990499 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewe
mi-mth-252-26982524,26982524,2080857,MTH-252,mod-mth-252-002-start-here,2,6,Achieve Registration Process_v3.pdf,Attachment,file,119223565,obj-mth-252-file-119223565,00031-mth-252-module-item-achieve-registration-process-v3-pdf-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982524,,2,,context_module_item student-view attachment indent_2 _requirement Attachment_119223565,captured,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,Attachment Achieve Registration Process_v3.pdf Achieve Registration Process_v3.pdf 5 attachment 26982524 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark
mi-mth-252-26982525,26982525,2080857,MTH-252,mod-mth-252-002-start-here,2,7,Free Trial/Grace Period in Achieve (2 weeks),Page,page,free-trial-slash-grace-period-in-achieve-2-weeks,obj-mth-252-page-free-trial-slash-grace-period-in-achieve-2-weeks,00032-mth-252-module-item-free-trial-grace-period-in-achieve-2-weeks-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982525,,3,progression|must_view,context_module_item student-view wiki_page indent_3 progression_requirement must_view_requirement WikiPage_10724867 dupeable,captured,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,Page Free Trial/Grace Period in Achieve (2 weeks) Free Trial/Grace Period in Achieve (2 weeks) 6 must_view wiki_page 26982525 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complet
mi-mth-252-26982526,26982526,2080857,MTH-252,mod-mth-252-002-start-here,2,8,OpenStax Course Online Textbook (pdf downloadable) Links to an external site.,External Url,module_item,26982526,obj-mth-252-module-item-26982526,00438-mth-252-linked-detail-openstax-course-online-textbook-pdf-downloadable,https://openstax.org/details/books/calculus-volume-2,https://openstax.org/details/books/calculus-volume-2,2,,context_module_item student-view external_url indent_2 _requirement ExternalUrl_0,captured,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,External Url OpenStax Course Online Textbook (pdf downloadable) Links to an external site. OpenStax Course Online Textbook (pdf downloadable) 7 external_url 26982526 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Mo
mi-mth-252-26982527,26982527,2080857,MTH-252,mod-mth-252-002-start-here,2,9,Gradescope Submissions - Students are held accountable for verifying submissions 8 context_module_sub_header 26982527 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete,Context Module Sub Header,module_subheader,,obj-mth-252-module-subheader-26982527,,,,0,,context_module_item student-view context_module_sub_header indent_0 _requirement ContextModuleSubHeader_0,structural_marker,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,Context Module Sub Header Gradescope Submissions - Students are held accountable for verifying submissions 8 context_module_sub_header 26982527 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been vie
mi-mth-252-26982528,26982528,2080857,MTH-252,mod-mth-252-002-start-here,2,10,Videos below: Show what verifying subs looks like. 9 context_module_sub_header 26982528 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete,Context Module Sub Header,module_subheader,,obj-mth-252-module-subheader-26982528,,,,1,,context_module_item student-view context_module_sub_header indent_1 _requirement ContextModuleSubHeader_0,structural_marker,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,Context Module Sub Header Videos below: Show what verifying subs looks like. 9 context_module_sub_header 26982528 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done 
