module_id,course_id,course_code,module_order,module_title,source_page_id,source_url,module_item_count
mod-mth-252-001-keys-solutions,2080857,MTH-252,1,Keys/Solutions,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,5
mod-mth-252-002-start-here,2080857,MTH-252,2,Start Here,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,16
mod-mth-252-003-tutoring-support-and-course-resources,2080857,MTH-252,3,Tutoring Support and Course Resources,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,5
mod-mth-252-004-mth-251-review-optional,2080857,MTH-252,4,MTH 251 Review **Optional**,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,4
mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums,2080857,MTH-252,5,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,9
mod-mth-252-006-module-2-intro-to-definite-integral-and-properties,2080857,MTH-252,6,Module 2: Intro to Definite Integral and Properties,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,9
mod-mth-252-007-mini-exam-1-available-tuesday-thursday-of-week-3,2080857,MTH-252,7,Mini-Exam 1: Available Tuesday - Thursday of Week 3,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,1
mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus,2080857,MTH-252,8,Module 3: The Fundamental Theorems of Calculus,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,9
mod-mth-252-009-module-4-introduction-to-applications,2080857,MTH-252,9,Module 4: Introduction to Applications,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,13
mod-mth-252-010-mini-exam-2-available-tuesday-thursday-of-week-5,2080857,MTH-252,10,Mini-Exam 2: Available Tuesday - Thursday of Week 5,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,1
