page_id,course_id,course_code,source_kind,source_surface,canvas_object_type,canvas_object_id,title,requested_url,resolved_url,redirected,requires_external_handler,depth,markdown_path,metadata_path,visible_heading_count,link_count,iframe_count,module_item_count,assignment_row_count,grade_row_count,metadata_heading_count,nav_count,hidden_text_count,heading_sample,captured_at
00001-mth-252-home-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,surface,home,course_page,,INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857,https://canvas.oregonstate.edu/courses/2080857,,,0,markdown/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.md,metadata/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.json,7,54,3,0,0,0,7,9,4,"Recent Announcements | unread,Gradescope Home Page --> WHW2 subs | INTEGRAL CALCULUS (MTH_252Z_400_U2026) | Front Page | Welcome to MTH 252! --> For BOTH Sections 400 and 401",2026-07-08T22:46:30.139Z
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,surface,modules,modules,,Course Modules: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules,https://canvas.oregonstate.edu/courses/2080857/modules,,,0,markdown/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.md,metadata/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.json,48,357,2,275,0,0,48,9,2000,Course Modules | Keys/Solutions | Start Here | Gradescope Submissions - Students are held accountable for verifying submissions 8 | Videos below: Show what verifying subs looks like. 9,2026-07-08T22:46:35.400Z
00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,surface,assignments,course_page,,INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/assignments,https://canvas.oregonstate.edu/courses/2080857,yes,,0,markdown/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.md,metadata/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.json,7,54,3,0,0,0,7,9,4,"Recent Announcements | unread,Gradescope Home Page --> WHW2 subs | INTEGRAL CALCULUS (MTH_252Z_400_U2026) | Front Page | Welcome to MTH 252! --> For BOTH Sections 400 and 401",2026-07-08T22:46:41.688Z
00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,surface,grades,grades,,Grades for Jacob Peterson: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/grades,https://canvas.oregonstate.edu/courses/2080857/grades,,,0,markdown/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.md,metadata/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.json,1,354,2,0,0,86,1,9,338,Grades for Jacob Peterson,2026-07-08T22:46:47.225Z
00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,surface,announcements,course_page,,Announcements: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/announcements,https://canvas.oregonstate.edu/courses/2080857/announcements,,,0,markdown/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.md,metadata/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.json,1,25,2,0,0,0,1,9,3,Announcements,2026-07-08T22:46:50.550Z
00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,surface,syllabus,assignment,syllabus,Syllabus for INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,,,0,markdown/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.md,metadata/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.json,2,91,2,0,0,0,2,9,65,Course Syllabus | Course Summary:,2026-07-08T22:46:53.974Z
00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,surface,discussions,discussions,,Discussions: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/discussion_topics,https://canvas.oregonstate.edu/courses/2080857/discussion_topics,,,0,markdown/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.md,metadata/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.json,14,36,2,0,0,0,14,9,42,"Discussions | Pinned Discussions | Q&A DiscussionQ&A Discussion Last post at Jul 5, 4:43 PM | unread,Module 1 — Discussion Reflection: WHW 1 🕓 0.25 hourModule 1 — Discussion Reflection: WHW 1 🕓 0.25 hour Due Jul 9, 11:59 PM Last post at Jul 8, 9:51 AM | unread,Module 2 — Discussion Reflection 🕓 0.5 hourModule 2 — Discussion Reflection 🕓 0.5 hour Available until Jul 13, 11:59 PM Due Jul 10, 11:59 PM Last post at Jul 8, 3:33 PM",2026-07-08T22:46:57.136Z
00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,surface,quizzes,course_page,,INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/quizzes,https://canvas.oregonstate.edu/courses/2080857,yes,,0,markdown/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.md,metadata/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.json,7,54,3,0,0,0,7,9,4,"Recent Announcements | unread,Gradescope Home Page --> WHW2 subs | INTEGRAL CALCULUS (MTH_252Z_400_U2026) | Front Page | Welcome to MTH 252! --> For BOTH Sections 400 and 401",2026-07-08T22:47:01.425Z
00009-mth-253-home-sequences-and-series-mth-253z-400-u2026,2053263,MTH-253,surface,home,course_page,,SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263,https://canvas.oregonstate.edu/courses/2053263,,,0,markdown/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.md,metadata/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.json,5,56,3,0,0,0,5,12,0,SEQUENCES AND SERIES (MTH_253Z_400_U2026) | Front Page | Course Overview | Course Learning Outcomes | Jump to a Unit:,2026-07-08T22:47:05.089Z
00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,2053263,MTH-253,surface,modules,modules,,Course Modules: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/modules,https://canvas.oregonstate.edu/courses/2053263/modules,,,0,markdown/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.md,metadata/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.json,23,103,2,65,0,0,23,12,916,Course Modules | Start Here | Unit 1 - Week 1 | 4 | 9,2026-07-08T22:47:08.685Z
