rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
320,2053526,PHY-212,task-00328-phy-212-graded-task-m1-0,graded_task,M1-0,2026-06-22T12:44,Jun 22 at 12:44pm,past_due_or_completed,,1,,,,action_required,high,candidate,needs_manual_decision,obj-phy-212-assignment-10591118,assignment,https://canvas.oregonstate.edu/courses/2053526/assignments/10591118|https://canvas.oregonstate.edu/courses/2053526/assignments|https://canvas.oregonstate.edu/courses/2053526/grades,Plan/complete this task according to its module and due information.
321,2053526,PHY-212,task-00329-phy-212-graded-task-m1-00,graded_task,M1-00,2026-06-23T12:12,Jun 23 at 12:12pm,past_due_or_completed,,2,,,,action_required,high,candidate,needs_manual_decision,obj-phy-212-assignment-10592346,assignment,https://canvas.oregonstate.edu/courses/2053526/assignments/10592346|https://canvas.oregonstate.edu/courses/2053526/assignments|https://canvas.oregonstate.edu/courses/2053526/grades,Plan/complete this task according to its module and due information.
322,2053526,PHY-212,task-00330-phy-212-graded-task-m1-1,graded_task,M1-1,2026-06-24T13:02,Jun 24 at 1:02pm,past_due_or_completed,,3,,,,action_required,high,candidate,needs_manual_decision,obj-phy-212-assignment-10592982,assignment,https://canvas.oregonstate.edu/courses/2053526/assignments/10592982|https://canvas.oregonstate.edu/courses/2053526/assignments|https://canvas.oregonstate.edu/courses/2053526/grades,Plan/complete this task according to its module and due information.
323,2053526,PHY-212,task-00331-phy-212-graded-task-m1-2,graded_task,M1-2,2026-06-25T12:22,Jun 25 at 12:22pm,past_due_or_completed,,5,,,,action_required,high,candidate,needs_manual_decision,obj-phy-212-assignment-10593560,assignment,https://canvas.oregonstate.edu/courses/2053526/assignments/10593560|https://canvas.oregonstate.edu/courses/2053526/assignments|https://canvas.oregonstate.edu/courses/2053526/grades,Plan/complete this task according to its module and due information.
269,2053263,MTH-253,task-00270-mth-253-graded-task-unit-1-written-homework-assignment,graded_task,Unit 1 - Written Homework Assignment,2026-06-26T23:59,Jun 26 by 11:59pm,past_due_or_completed,,100,,Unit 1 - Week 1,mi-mth-253-26885537,action_required,high,candidate,,obj-mth-253-assignment-10553179,assignment,https://canvas.oregonstate.edu/courses/2053263/assignments/10553179?module_item_id=26885537|https://canvas.oregonstate.edu/courses/2053263/assignments/10553179|https://canvas.oregonstate.edu/courses/2053263/assignments/10553179?module_item_id=26885537#|https://canvas.oregonstate.edu/courses/2053263/modules|https://canvas.oregonstate.edu/courses/2053263/grades,Plan/complete this task according to its module and due information.
324,2053526,PHY-212,task-00322-phy-212-graded-task-lab-1-report,graded_task,Lab 1 Report,2026-06-27T23:59,Jun 27 at 11:59pm,past_due_or_completed,Aug 15 at 11:59pm,20,,,,action_required,high,candidate,needs_manual_decision,obj-phy-212-assignment-10557057,assignment,https://canvas.oregonstate.edu/courses/2053526/assignments/10557057|https://canvas.oregonstate.edu/courses/2053526/assignments|https://canvas.oregonstate.edu/courses/2053526/grades,Plan/complete this task according to its module and due information.
325,2053526,PHY-212,task-00332-phy-212-graded-task-m1-3,graded_task,M1-3,2026-06-29T12:24,Jun 29 at 12:24pm,past_due_or_completed,,5,,,,action_required,high,candidate,needs_manual_decision,obj-phy-212-assignment-10595057,assignment,https://canvas.oregonstate.edu/courses/2053526/assignments/10595057|https://canvas.oregonstate.edu/courses/2053526/assignments|https://canvas.oregonstate.edu/courses/2053526/grades,Plan/complete this task according to its module and due information.
1,2080857,MTH-252,task-00002-mth-252-graded-task-achieve-1-1-approximating-areas,graded_task,Achieve - 1.1 Approximating Areas,2026-06-29T23:59,Jun 29 by 11:59pm,past_due_or_completed,,5,,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982551,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586025,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551|https://canvas.oregonstate.edu/courses/2080857/assignments/10586025|https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
2,2080857,MTH-252,task-00020-mth-252-graded-task-intro-reflect-1,graded_task,Intro Reflect 1,2026-06-29T23:59,Jun 29 by 11:59pm,past_due_or_completed,,5,,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982550,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586044,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550|https://canvas.oregonstate.edu/courses/2080857/assignments/10586044|https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
270,2053263,MTH-253,task-00275-mth-253-graded-task-week-1-web-homework-infinity-and-limits-indeterminates-improper-integrals,graded_task,"Week 1 Web Homework: Infinity and Limits, Indeterminates, Improper Integrals",2026-06-29T23:59,Jun 29 by 11:59pm,past_due_or_completed,,100,,Unit 1 - Week 1,mi-mth-253-26977416,action_required,high,candidate,needs_manual_decision,obj-mth-253-assignment-10584258,assignment,https://canvas.oregonstate.edu/courses/2053263/assignments/10584258?module_item_id=26977416|https://canvas.oregonstate.edu/courses/2053263/assignments/10584258|https://canvas.oregonstate.edu/courses/2053263/assignments/10584258?module_item_id=26977416#|https://canvas.oregonstate.edu/courses/2053263/modules|https://canvas.oregonstate.edu/courses/2053263/grades,Plan/complete this task according to its module and due information.
