retry_id,course_id,course_code,url,reason,severity,source_review_item_ids,source_categories,source_statuses,execute_status,suggested_action
retry-0001,2053263,MTH-253,https://canvas.oregonstate.edu/courses/2053263/quizzes/3166971?module_item_id=26982050,module_item_blocked,high,ri-00001|ri-00349,module_crosscheck|review_queue,module_item_blocked|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0002,2053263,MTH-253,https://canvas.oregonstate.edu/courses/2053263/quizzes/3166971/questions/59149565,unauthorized,high,ri-00170,capture_issue,unauthorized,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0003,2053263,MTH-253,https://canvas.oregonstate.edu/courses/2053263/quizzes/3166971/questions/59149944,unauthorized,high,ri-00171,capture_issue,unauthorized,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0015,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556937,unauthorized,high,ri-00207|ri-00361|ri-00487,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0007,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556938,unauthorized,high,ri-00199|ri-00353|ri-00479,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0016,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556943,unauthorized,high,ri-00208|ri-00362|ri-00488,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0012,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556947,unauthorized,high,ri-00204|ri-00358|ri-00484,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0008,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556951,unauthorized,high,ri-00200|ri-00354|ri-00480,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0004,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556958,unauthorized,high,ri-00196|ri-00350|ri-00476,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0018,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556959,unauthorized,high,ri-00210|ri-00364|ri-00490,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0006,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556967,unauthorized,high,ri-00198|ri-00352|ri-00478,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0005,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556975,unauthorized,high,ri-00197|ri-00351|ri-00477,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0009,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556991,unauthorized,high,ri-00201|ri-00355|ri-00481,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0017,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10556996,unauthorized,high,ri-00209|ri-00363|ri-00489,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0010,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557013,unauthorized,high,ri-00202|ri-00356|ri-00482,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0011,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557015,unauthorized,high,ri-00203|ri-00357|ri-00483,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0013,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557020,unauthorized,high,ri-00205|ri-00359|ri-00485,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0014,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557027,unauthorized,high,ri-00206|ri-00360|ri-00486,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0019,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557105,unauthorized,high,ri-00211|ri-00365|ri-00491,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0024,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557106,unauthorized,high,ri-00216|ri-00368|ri-00494,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0025,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557107,unauthorized,high,ri-00217|ri-00369|ri-00495,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0021,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557108,unauthorized,high,ri-00213|ri-00366|ri-00492,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0026,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557109,unauthorized,high,ri-00218|ri-00370|ri-00496,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0027,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557110,unauthorized,high,ri-00219|ri-00371|ri-00497,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
retry-0023,2053526,PHY-212,https://canvas.oregonstate.edu/courses/2053526/assignments/10557111,unauthorized,high,ri-00215|ri-00367|ri-00493,capture_issue|review_queue|task_without_module,unauthorized|blocked_or_broken|blocked_or_broken,queued_not_executed,Retry in browser/crawler and re-run the offline indexer.
