review_id,priority,review_reason,course_id,course_code,task_id,object_id,page_id,title,source_url,suggested_action
review-00001,medium,download_not_read,2080857,MTH-252,,obj-mth-252-download-99187575,,IVP-Wksht1.pdf,https://canvas.oregonstate.edu/courses/1918585/files/99187575/download?download_frd=1,Download and parse file before treating contents as read.
review-00002,medium,download_not_read,2080857,MTH-252,,obj-mth-252-download-99187581,,IVP-Wksht2.pdf,https://canvas.oregonstate.edu/courses/1918585/files/99187581/download?download_frd=1,Download and parse file before treating contents as read.
review-00003,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558743,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558743/download?download_frd=1,Download and parse file before treating contents as read.
review-00004,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558950,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558950/download?download_frd=1,Download and parse file before treating contents as read.
review-00005,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558844,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558844/download?download_frd=1,Download and parse file before treating contents as read.
review-00006,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558915,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558915/download?download_frd=1,Download and parse file before treating contents as read.
review-00007,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558827,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558827/download?download_frd=1,Download and parse file before treating contents as read.
review-00008,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558808,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558808/download?download_frd=1,Download and parse file before treating contents as read.
review-00009,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558770,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558770/download?download_frd=1,Download and parse file before treating contents as read.
review-00010,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558809,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558809/download?download_frd=1,Download and parse file before treating contents as read.
review-00011,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558919,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558919/download?download_frd=1,Download and parse file before treating contents as read.
review-00012,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558872,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558872/download?download_frd=1,Download and parse file before treating contents as read.
review-00013,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-118558751,,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558751/download?download_frd=1,Download and parse file before treating contents as read.
review-00014,medium,download_not_read,2053263,MTH-253,,obj-mth-253-download-119294133,,Practice-Quiz.pdf,https://canvas.oregonstate.edu/users/6660414/files/119294133/download?verifier=gGJq5JBGLXpWU66mkaU77iU27kEJcXVFbCpDi73N&download_frd=1,Download and parse file before treating contents as read.
review-00015,high,blocked_or_broken,2053263,MTH-253,task-00315-mth-253-blocked-or-broken-practice-quiz-take-it-before-attempting-quiz-1-sequences-and-series-mth-253z-400,obj-mth-253-quiz-3166971,00240-mth-253-module-item-practice-quiz-take-it-before-attempting-quiz-1-sequences-and-series-mth-253z-400-u2026,Practice Quiz (take it before attempting Quiz 1!): SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/quizzes/3166971?module_item_id=26982050,Retry or manually review blocked/broken capture.
review-00016,high,blocked_or_broken,2053526,PHY-212,task-00346-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556958,00618-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556958,Retry or manually review blocked/broken capture.
review-00017,high,blocked_or_broken,2053526,PHY-212,task-00347-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556975,00619-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556975,Retry or manually review blocked/broken capture.
review-00018,high,blocked_or_broken,2053526,PHY-212,task-00348-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556967,00620-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556967,Retry or manually review blocked/broken capture.
review-00019,high,blocked_or_broken,2053526,PHY-212,task-00349-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556938,00621-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556938,Retry or manually review blocked/broken capture.
review-00020,high,blocked_or_broken,2053526,PHY-212,task-00350-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556951,00622-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556951,Retry or manually review blocked/broken capture.
review-00021,high,blocked_or_broken,2053526,PHY-212,task-00351-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556991,00623-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556991,Retry or manually review blocked/broken capture.
review-00022,high,blocked_or_broken,2053526,PHY-212,task-00352-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557013,00624-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557013,Retry or manually review blocked/broken capture.
review-00023,high,blocked_or_broken,2053526,PHY-212,task-00353-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557015,00625-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557015,Retry or manually review blocked/broken capture.
review-00024,high,blocked_or_broken,2053526,PHY-212,task-00354-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556947,00626-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556947,Retry or manually review blocked/broken capture.
review-00025,high,blocked_or_broken,2053526,PHY-212,task-00355-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557020,00627-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557020,Retry or manually review blocked/broken capture.
