task_id,object_id,evidence_id,evidence_type,relation,source_page_id,source_url,target_page_id,target_url,detail
task-00001-mth-252-graded-task-acheive-2-4-arc-length-of-a-curve-no-surface-area,obj-mth-252-assignment-10586024,ev-00134,page_capture,captured_as_object,00134-mth-252-module-item-acheive-2-4-arc-length-of-a-curve-no-surface-area,https://canvas.oregonstate.edu/courses/2080857/assignments/10586024?module_item_id=26982629,00134-mth-252-module-item-acheive-2-4-arc-length-of-a-curve-no-surface-area,https://canvas.oregonstate.edu/courses/2080857/assignments/10586024?module_item_id=26982629,module_item:module_item
task-00001-mth-252-graded-task-acheive-2-4-arc-length-of-a-curve-no-surface-area,obj-mth-252-assignment-10586024,ev-00440,page_capture,captured_as_object,00440-mth-252-linked-detail-acheive-2-4-arc-length-of-a-curve-no-surface-area,https://canvas.oregonstate.edu/courses/2080857/assignments/10586024?module_item_id=26982629#,00440-mth-252-linked-detail-acheive-2-4-arc-length-of-a-curve-no-surface-area,https://canvas.oregonstate.edu/courses/2080857/assignments/10586024?module_item_id=26982629#,linked_detail:linked_detail
task-00001-mth-252-graded-task-acheive-2-4-arc-length-of-a-curve-no-surface-area,obj-mth-252-assignment-10586024,ev-01040,module_item_listing,module_contains_object,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,00134-mth-252-module-item-acheive-2-4-arc-length-of-a-curve-no-surface-area,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982629,module=Module 8: Application of Integration - Graphical and Real-World; item_type=Assignment; capture_status=captured
task-00001-mth-252-graded-task-acheive-2-4-arc-length-of-a-curve-no-surface-area,obj-mth-252-assignment-10586024,ev-01740,grade_surface_row,grades_surface_lists_object,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,,https://canvas.oregonstate.edu/courses/2080857/assignments/10586024/submissions/6660414,cells=Acheive - 2.4 Arc Length of a Curve (NO Surface Area) Achieve | Aug 17 by 11:59pm |  |  | Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586024 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Acheive - 2.4 Arc Length of a Curve (NO Surface Area) Achieve Aug 17 by 11:59pm Click to test a different score Click to test a different score - / 100 unsubmitted 3252097 10586024 Grade Info See scoring details See rubric results 0 comments 0
task-00002-mth-252-graded-task-achieve-1-1-approximating-areas,obj-mth-252-assignment-10586025,ev-00056,page_capture,captured_as_object,00056-mth-252-module-item-achieve-1-1-approximating-areas,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551,00056-mth-252-module-item-achieve-1-1-approximating-areas,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551,module_item:module_item
task-00002-mth-252-graded-task-achieve-1-1-approximating-areas,obj-mth-252-assignment-10586025,ev-00350,page_capture,captured_as_object,00350-mth-252-linked-detail-achieve-1-1-approximating-areas,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551#,00350-mth-252-linked-detail-achieve-1-1-approximating-areas,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551#,linked_detail:linked_detail
task-00002-mth-252-graded-task-achieve-1-1-approximating-areas,obj-mth-252-assignment-10586025,ev-00962,module_item_listing,module_contains_object,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,00056-mth-252-module-item-achieve-1-1-approximating-areas,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982551,"module=Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums; item_type=Assignment; capture_status=captured"
task-00002-mth-252-graded-task-achieve-1-1-approximating-areas,obj-mth-252-assignment-10586025,ev-01715,grade_surface_row,grades_surface_lists_object,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025/submissions/6660414,cells=Achieve - 1.1 Approximating Areas Achieve | Jun 29 by 11:59pm |  |  | Click to test a different score Click to test a different score 93.75 / 100 93.75 93.75 93.75 graded 3252097 10586025 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Achieve - 1.1 Approximating Areas Achieve Jun 29 by 11:59pm Click to test a different score Click to test a different score 93.75 / 100 93.75 93.75 93.75 graded 3252097 10586025 Grade Info See scoring details See rubric results 0 comments 0
task-00003-mth-252-graded-task-achieve-1-2-the-definite-integral,obj-mth-252-assignment-10586026,ev-00065,page_capture,captured_as_object,00065-mth-252-module-item-achieve-1-2-the-definite-integral,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560,00065-mth-252-module-item-achieve-1-2-the-definite-integral,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560,module_item:module_item
task-00003-mth-252-graded-task-achieve-1-2-the-definite-integral,obj-mth-252-assignment-10586026,ev-00354,page_capture,captured_as_object,00354-mth-252-linked-detail-achieve-1-2-the-definite-integral,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560#,00354-mth-252-linked-detail-achieve-1-2-the-definite-integral,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560#,linked_detail:linked_detail
task-00003-mth-252-graded-task-achieve-1-2-the-definite-integral,obj-mth-252-assignment-10586026,ev-00971,module_item_listing,module_contains_object,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,00065-mth-252-module-item-achieve-1-2-the-definite-integral,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982560,module=Module 2: Intro to Definite Integral and Properties; item_type=Assignment; capture_status=captured
task-00003-mth-252-graded-task-achieve-1-2-the-definite-integral,obj-mth-252-assignment-10586026,ev-01717,grade_surface_row,grades_surface_lists_object,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026/submissions/6660414,cells=Achieve - 1.2 The Definite Integral Achieve | Jul 6 by 11:59pm |  |  | Click to test a different score Click to test a different score 82 / 100 82.0 82 82 graded 3252097 10586026 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Achieve - 1.2 The Definite Integral Achieve Jul 6 by 11:59pm Click to test a different score Click to test a different score 82 / 100 82.0 82 82 graded 3252097 10586026 Grade Info See scoring details See rubric results 0 comments 0
task-00004-mth-252-graded-task-achieve-1-3-the-fundamental-theorem-of-calculus,obj-mth-252-assignment-10586027,ev-00074,page_capture,captured_as_object,00074-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569,00074-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569,module_item:module_item
task-00004-mth-252-graded-task-achieve-1-3-the-fundamental-theorem-of-calculus,obj-mth-252-assignment-10586027,ev-00368,page_capture,captured_as_object,00368-mth-252-linked-detail-achieve-1-3-the-fundamental-theorem-of-calculus,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569#,00368-mth-252-linked-detail-achieve-1-3-the-fundamental-theorem-of-calculus,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569#,linked_detail:linked_detail
task-00004-mth-252-graded-task-achieve-1-3-the-fundamental-theorem-of-calculus,obj-mth-252-assignment-10586027,ev-00980,module_item_listing,module_contains_object,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,00074-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982569,module=Module 3: The Fundamental Theorems of Calculus; item_type=Assignment; capture_status=captured
task-00004-mth-252-graded-task-achieve-1-3-the-fundamental-theorem-of-calculus,obj-mth-252-assignment-10586027,ev-01722,grade_surface_row,grades_surface_lists_object,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027/submissions/6660414,cells=Achieve - 1.3 The Fundamental Theorem of Calculus Achieve | Jul 13 by 11:59pm |  |  | Click to test a different score Click to test a different score 100 / 100 100.0 100 100 graded 3252097 10586027 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Achieve - 1.3 The Fundamental Theorem of Calculus Achieve Jul 13 by 11:59pm Click to test a different score Click to test a different score 100 / 100 100.0 100 100 graded 3252097 10586027 Grade Info See scoring details See rubric results 0 comments 0
task-00005-mth-252-graded-task-achieve-1-4-integration-formulas-and-the-net-change-theorem,obj-mth-252-assignment-10586028,ev-00086,page_capture,captured_as_object,00086-mth-252-module-item-achieve-1-4-integration-formulas-and-the-net-change-theorem,https://canvas.oregonstate.edu/courses/2080857/assignments/10586028?module_item_id=26982581,00086-mth-252-module-item-achieve-1-4-integration-formulas-and-the-net-change-theorem,https://canvas.oregonstate.edu/courses/2080857/assignments/10586028?module_item_id=26982581,module_item:module_item
task-00005-mth-252-graded-task-achieve-1-4-integration-formulas-and-the-net-change-theorem,obj-mth-252-assignment-10586028,ev-00395,page_capture,captured_as_object,00395-mth-252-linked-detail-achieve-1-4-integration-formulas-and-the-net-change-theorem,https://canvas.oregonstate.edu/courses/2080857/assignments/10586028?module_item_id=26982581#,00395-mth-252-linked-detail-achieve-1-4-integration-formulas-and-the-net-change-theorem,https://canvas.oregonstate.edu/courses/2080857/assignments/10586028?module_item_id=26982581#,linked_detail:linked_detail
task-00005-mth-252-graded-task-achieve-1-4-integration-formulas-and-the-net-change-theorem,obj-mth-252-assignment-10586028,ev-00992,module_item_listing,module_contains_object,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,00086-mth-252-module-item-achieve-1-4-integration-formulas-and-the-net-change-theorem,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982581,module=Module 4: Introduction to Applications; item_type=Assignment; capture_status=captured
task-00005-mth-252-graded-task-achieve-1-4-integration-formulas-and-the-net-change-theorem,obj-mth-252-assignment-10586028,ev-01725,grade_surface_row,grades_surface_lists_object,00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/grades,,https://canvas.oregonstate.edu/courses/2080857/assignments/10586028/submissions/6660414,cells=Achieve - 1.4 Integration Formulas and the Net Change Theorem Achieve | Jul 20 by 11:59pm |  |  | Click to test a different score Click to test a different score 97 / 100 97.0 97 97 graded 3252097 10586028 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Achieve - 1.4 Integration Formulas and the Net Change Theorem Achieve Jul 20 by 11:59pm Click to test a different score Click to test a different score 97 / 100 97.0 97 97 graded 3252097 10586028 Grade Info See scoring details See rubric results 0 comments 0
task-00006-mth-252-graded-task-achieve-1-5-substitution,obj-mth-252-assignment-10586029,ev-00087,page_capture,captured_as_object,00087-mth-252-module-item-achieve-1-5-substitution,https://canvas.oregonstate.edu/courses/2080857/assignments/10586029?module_item_id=26982582,00087-mth-252-module-item-achieve-1-5-substitution,https://canvas.oregonstate.edu/courses/2080857/assignments/10586029?module_item_id=26982582,module_item:module_item
