rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
259,2053263,MTH-253,task-00260-mth-253-graded-task-unit-1-written-homework-assignment,graded_task,Unit 1 - Written Homework Assignment,2026-06-26T23:59,Jun 26 by 11:59pm,upcoming,,5,,Unit 1 - Week 1,mi-mth-253-26885537,action_required,high,candidate,needs_manual_decision,obj-mth-253-assignment-10553179,assignment,https://canvas.oregonstate.edu/courses/2053263/assignments/10553179?module_item_id=26885537|https://canvas.oregonstate.edu/courses/2053263/assignments/10553179|https://canvas.oregonstate.edu/courses/2053263/assignments/10553179?module_item_id=26885537#|https://canvas.oregonstate.edu/courses/2053263/modules|https://canvas.oregonstate.edu/courses/2053263/grades,Plan/complete this task according to its module and due information.
310,2053526,PHY-212,task-00306-phy-212-graded-task-lab-1-report,graded_task,Lab 1 Report,2026-06-27T23:59,Jun 27 by 11:59pm,upcoming,,20,,,,action_required,high,candidate,needs_manual_decision,obj-phy-212-assignment-10557057,assignment,https://canvas.oregonstate.edu/courses/2053526/assignments/10557057|https://canvas.oregonstate.edu/courses/2053526/assignments|https://canvas.oregonstate.edu/courses/2053526/grades,Plan/complete this task according to its module and due information.
1,2080857,MTH-252,task-00002-mth-252-graded-task-achieve-1-1-approximating-areas,graded_task,Achieve - 1.1 Approximating Areas,2026-06-29T23:59,Jun 29 by 11:59pm,upcoming,,5,,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982551,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586025,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551|https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
2,2080857,MTH-252,task-00020-mth-252-graded-task-intro-reflect-1,graded_task,Intro Reflect 1,2026-06-29T23:59,Jun 29 by 11:59pm,upcoming,,5,,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982550,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586044,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550|https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
3,2080857,MTH-252,task-00029-mth-252-graded-task-module-1-written-homework-whw-1-2-hours,graded_task,Module 1 — Written Homework (WHW 1) 🕓 2 hours,2026-06-29T23:59,Jun 29 by 11:59pm,upcoming,,5,2 hours,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982549,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586053,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586053?module_item_id=26982549|https://canvas.oregonstate.edu/courses/2080857/assignments/10586053?module_item_id=26982549#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
260,2053263,MTH-253,task-00265-mth-253-graded-task-week-1-web-homework-infinity-and-limits-indeterminates-improper-integrals,graded_task,"Week 1 Web Homework: Infinity and Limits, Indeterminates, Improper Integrals",2026-06-29T23:59,Jun 29 by 11:59pm,upcoming,,5,,Unit 1 - Week 1,mi-mth-253-26977416,action_required,high,candidate,needs_manual_decision,obj-mth-253-assignment-10584258,assignment,https://canvas.oregonstate.edu/courses/2053263/assignments/10584258?module_item_id=26977416|https://canvas.oregonstate.edu/courses/2053263/assignments/10584258|https://canvas.oregonstate.edu/courses/2053263/assignments/10584258?module_item_id=26977416#|https://canvas.oregonstate.edu/courses/2053263/modules|https://canvas.oregonstate.edu/courses/2053263/grades,Plan/complete this task according to its module and due information.
311,2053526,PHY-212,task-00311-phy-212-graded-task-m2-1pre,graded_task,M2-1pre,2026-07-04T10:00,Jul 4 at 10:00am,upcoming,Jun 27 at 10:00am,3,,,,action_required,high,candidate,needs_manual_decision,obj-phy-212-assignment-10557070,assignment,https://canvas.oregonstate.edu/courses/2053526/assignments/10557070|https://canvas.oregonstate.edu/courses/2053526/assignments|https://canvas.oregonstate.edu/courses/2053526/grades,Plan/complete this task according to its module and due information.
4,2080857,MTH-252,task-00003-mth-252-graded-task-achieve-1-2-the-definite-integral,graded_task,Achieve - 1.2 The Definite Integral,2026-07-06T23:59,Jul 6 by 11:59pm,upcoming,,5,,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982560,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586026,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560|https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
5,2080857,MTH-252,task-00031-mth-252-graded-task-module-2-written-homework-whw-2-3-hours,graded_task,Module 2 — Written Homework (WHW 2) 🕓 3 hours,2026-07-06T23:59,Jul 6 by 11:59pm,upcoming,,5,3 hours,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982558,action_required,high,candidate,,obj-mth-252-assignment-10586055,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586055?module_item_id=26982558|https://canvas.oregonstate.edu/courses/2080857/assignments/10586055?module_item_id=26982558#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
6,2080857,MTH-252,task-00039-mth-252-graded-task-reflection-2,graded_task,Reflection 2,2026-07-06T23:59,Jul 6 by 11:59pm,upcoming,,5,,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982559,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586063,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586063?module_item_id=26982559|https://canvas.oregonstate.edu/courses/2080857/assignments/10586063?module_item_id=26982559#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
