message_id,processed_date,received_date,sender,subject,rule_id,rule_name,mailbox_action,mailbox_verification,notes
EMAIL-0034,2026-06-26,2026-05-31,Oregon State Career Development Center,Learn from an OSU Engineering Alum Leading in Geoscience & Environmental Solutions,AUTO-COLD-002,Handshake and Career Development promos,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0037,2026-06-26,2026-06-01,"Batten, Christina via ece-ungrads",This Week @ EECS,AUTO-COLD-007,EECS weekly digests,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0038,2026-06-26,2026-06-01,EECS Student Resources,This Week in EECS: EECS Student Resources,AUTO-COLD-007,EECS weekly digests,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0039,2026-06-26,2026-06-01,"King, Kristi",Student_parents] Graduation Celebration for Parenting Students!!,AUTO-COLD-003,Student parent events,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0040,2026-06-26,2026-06-01,Engineering Events via All-ungrads,All-ungrads] [Reminder] Join us for the 2026 Engineering Expo,AUTO-COLD-008,Engineering Expo reminders,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0041,2026-06-26,2026-06-01,SET_Admin@messages.ucsadm.oregonstate.edu,Reminder: Student Learning Experience (course feedback) is open,AUTO-COLD-005,SLE course feedback,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0042,2026-06-26,2026-06-01,Behance,"Jake, New Inspiration For You: June 1, 2026",AUTO-COLD-001,Behance inspiration,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0045,2026-06-26,2026-06-02,"King, Kristi",Feedback for the Family Resource Center,AUTO-COLD-003,Student parent events,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0046,2026-06-26,2026-06-02,"Yelle, Robert Brian via cluster-users",HPC status update 6-2-26,AUTO-COLD-009,HPC news and status,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0048,2026-06-26,2026-06-03,Xfinity,Thanks for your payment,AUTO-COLD-004,Xfinity notices,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0049,2026-06-26,2026-06-03,"King, Kristi",Virtual Student Parent Connections,AUTO-COLD-003,Student parent events,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0052,2026-06-26,2026-06-03,Handshake,Summer's coming. So is your next paycheck.,AUTO-COLD-002,Handshake and Career Development promos,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0055,2026-06-26,2026-06-04,"King, Kristi",Today! Lunch- Student Parent Connections,AUTO-COLD-003,Student parent events,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0058,2026-06-26,2026-06-05,SET_Admin@messages.ucsadm.oregonstate.edu,Reminder: Sunday is the last day to provide course feedback (Student Learning Experience Survey),AUTO-COLD-005,SLE course feedback,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0059,2026-06-26,2026-06-05,"Yelle, Robert Brian via cluster-users",HPC status update 6-5-26,AUTO-COLD-009,HPC news and status,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0060,2026-06-26,2026-06-07,SET_Admin@messages.ucsadm.oregonstate.edu,Today is the last day to provide course feedback (Student Learning Experience Survey),AUTO-COLD-005,SLE course feedback,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0062,2026-06-26,2026-06-08,Behance,"Jake, New Inspiration For You: June 8, 2026",AUTO-COLD-001,Behance inspiration,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
